# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 2.949937e-01
1.123324e-15 3.766997e-01
1.261857e-15 6.579297e-01
1.417474e-15 5.679250e-01
1.592283e-15 4.402168e-01
1.788650e-15 7.724583e-01
2.009233e-15 5.864565e-01
2.257020e-15 7.878012e-01
2.535364e-15 5.984130e-01
2.848036e-15 6.312067e-01
3.199267e-15 8.064928e-01
3.593814e-15 7.862586e-01
4.037017e-15 5.009944e-01
4.534879e-15 1.163204e+00
5.094138e-15 9.027318e-01
5.722368e-15 1.066097e+00
6.428073e-15 8.285334e-01
7.220809e-15 1.065990e+00
8.111308e-15 1.068157e+00
9.111628e-15 1.145513e+00
1.023531e-14 1.220249e+00
1.149757e-14 1.355601e+00
1.291550e-14 1.381573e+00
1.450829e-14 1.416426e+00
1.629751e-14 1.348536e+00
1.830738e-14 1.530006e+00
2.056512e-14 1.397701e+00
2.310130e-14 1.521983e+00
2.595024e-14 1.347739e+00
2.915053e-14 1.662675e+00
3.274549e-14 1.952581e+00
3.678380e-14 1.729333e+00
4.132012e-14 1.978404e+00
4.641589e-14 1.872696e+00
5.214008e-14 1.772674e+00
5.857021e-14 1.917401e+00
6.579332e-14 1.976969e+00
7.390722e-14 2.077475e+00
8.302176e-14 1.925803e+00
9.326033e-14 2.061095e+00
1.047616e-13 2.161693e+00
1.176812e-13 2.127681e+00
1.321941e-13 2.194024e+00
1.484968e-13 2.134401e+00
1.668101e-13 2.185646e+00
1.873817e-13 2.122084e+00
2.104904e-13 2.282298e+00
2.364489e-13 2.478200e+00
2.656088e-13 2.521839e+00
2.983647e-13 2.509281e+00
3.351603e-13 2.667778e+00
3.764936e-13 2.570262e+00
4.229243e-13 2.427139e+00
4.750810e-13 2.567180e+00
5.336699e-13 2.972272e+00
5.994843e-13 2.773962e+00
6.734151e-13 2.928843e+00
7.564633e-13 2.938523e+00
8.497534e-13 2.877614e+00
9.545485e-13 2.892856e+00
1.072267e-12 3.238785e+00
1.204504e-12 3.114315e+00
1.353048e-12 3.305239e+00
1.519911e-12 3.233561e+00
1.707353e-12 3.688674e+00
1.917910e-12 3.908916e+00
2.154435e-12 3.777995e+00
2.420128e-12 3.788490e+00
2.718588e-12 3.888568e+00
3.053856e-12 4.074883e+00
3.430469e-12 4.208912e+00
3.853529e-12 4.364090e+00
4.328761e-12 4.585209e+00
4.862602e-12 4.550335e+00
5.462277e-12 4.979521e+00
6.135907e-12 5.211416e+00
6.892612e-12 5.107597e+00
7.742637e-12 5.389561e+00
8.697490e-12 5.792585e+00
9.770100e-12 5.553437e+00
1.097499e-11 6.012607e+00
1.232847e-11 6.296788e+00
1.384886e-11 6.415787e+00
1.555676e-11 6.580401e+00
1.747528e-11 7.065848e+00
1.963041e-11 7.172483e+00
2.205131e-11 7.687122e+00
2.477076e-11 7.845052e+00
2.782559e-11 8.460297e+00
3.125716e-11 8.687829e+00
3.511192e-11 8.937181e+00
3.944206e-11 9.172818e+00
4.430621e-11 9.939563e+00
4.977024e-11 1.057163e+01
5.590810e-11 1.029310e+01
6.280291e-11 1.154871e+01
7.054802e-11 1.166432e+01
7.924829e-11 1.255325e+01
8.902151e-11 1.287432e+01
1.000000e-10 1.356874e+01
