# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 3.435364e-01
1.123324e-15 2.347093e-01
1.261857e-15 4.620808e-01
1.417474e-15 3.736959e-01
1.592283e-15 7.327126e-01
1.788650e-15 4.162478e-01
2.009233e-15 5.855672e-01
2.257020e-15 6.785336e-01
2.535364e-15 4.500511e-01
2.848036e-15 4.122851e-01
3.199267e-15 8.586323e-01
3.593814e-15 6.802870e-01
4.037017e-15 7.638969e-01
4.534879e-15 9.186265e-01
5.094138e-15 9.190630e-01
5.722368e-15 5.795153e-01
6.428073e-15 1.032086e+00
7.220809e-15 8.835129e-01
8.111308e-15 1.074675e+00
9.111628e-15 9.222751e-01
1.023531e-14 1.050476e+00
1.149757e-14 1.077236e+00
1.291550e-14 1.192349e+00
1.450829e-14 1.300340e+00
1.629751e-14 1.143065e+00
1.830738e-14 1.427837e+00
2.056512e-14 1.252001e+00
2.310130e-14 1.455052e+00
2.595024e-14 1.524348e+00
2.915053e-14 1.606317e+00
3.274549e-14 1.635310e+00
3.678380e-14 1.634042e+00
4.132012e-14 1.741520e+00
4.641589e-14 1.857078e+00
5.214008e-14 1.787611e+00
5.857021e-14 1.952672e+00
6.579332e-14 1.637185e+00
7.390722e-14 2.042417e+00
8.302176e-14 2.171118e+00
9.326033e-14 2.054239e+00
1.047616e-13 1.909329e+00
1.176812e-13 1.861464e+00
1.321941e-13 1.981218e+00
1.484968e-13 1.995354e+00
1.668101e-13 2.216037e+00
1.873817e-13 2.100444e+00
2.104904e-13 2.177780e+00
2.364489e-13 2.109008e+00
2.656088e-13 2.288653e+00
2.983647e-13 2.520686e+00
3.351603e-13 2.261716e+00
3.764936e-13 2.426791e+00
4.229243e-13 2.395736e+00
4.750810e-13 2.439092e+00
5.336699e-13 2.530397e+00
5.994843e-13 2.440493e+00
6.734151e-13 2.723941e+00
7.564633e-13 2.709938e+00
8.497534e-13 2.913139e+00
9.545485e-13 2.904781e+00
1.072267e-12 3.138588e+00
1.204504e-12 3.031988e+00
1.353048e-12 3.247369e+00
1.519911e-12 3.405432e+00
1.707353e-12 3.321766e+00
1.917910e-12 3.454195e+00
2.154435e-12 3.650620e+00
2.420128e-12 3.672459e+00
2.718588e-12 3.941576e+00
3.053856e-12 3.989571e+00
3.430469e-12 4.113150e+00
3.853529e-12 4.292903e+00
4.328761e-12 4.238361e+00
4.862602e-12 4.418120e+00
5.462277e-12 4.689958e+00
6.135907e-12 4.914805e+00
6.892612e-12 5.143139e+00
7.742637e-12 5.308843e+00
8.697490e-12 5.541703e+00
9.770100e-12 5.727684e+00
1.097499e-11 6.231133e+00
1.232847e-11 6.305577e+00
1.384886e-11 6.544008e+00
1.555676e-11 6.897746e+00
1.747528e-11 6.896947e+00
1.963041e-11 7.397749e+00
2.205131e-11 7.297860e+00
2.477076e-11 7.925514e+00
2.782559e-11 8.205613e+00
3.125716e-11 8.419579e+00
3.511192e-11 9.086969e+00
3.944206e-11 9.003697e+00
4.430621e-11 9.968498e+00
4.977024e-11 1.059776e+01
5.590810e-11 1.075965e+01
6.280291e-11 1.117060e+01
7.054802e-11 1.173383e+01
7.924829e-11 1.239010e+01
8.902151e-11 1.318749e+01
1.000000e-10 1.475209e+01
