# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 4.326015e-01
1.123324e-15 2.734214e-01
1.261857e-15 1.579964e-01
1.417474e-15 6.530087e-01
1.592283e-15 6.145790e-01
1.788650e-15 4.977971e-01
2.009233e-15 5.477980e-01
2.257020e-15 5.144664e-01
2.535364e-15 6.281632e-01
2.848036e-15 7.234703e-01
3.199267e-15 6.920783e-01
3.593814e-15 8.750959e-01
4.037017e-15 9.296667e-01
4.534879e-15 7.689528e-01
5.094138e-15 9.031334e-01
5.722368e-15 1.051109e+00
6.428073e-15 1.120584e+00
7.220809e-15 1.089427e+00
8.111308e-15 1.011899e+00
9.111628e-15 1.103673e+00
1.023531e-14 1.316162e+00
1.149757e-14 1.283726e+00
1.291550e-14 1.551641e+00
1.450829e-14 1.616239e+00
1.629751e-14 1.303603e+00
1.830738e-14 1.516802e+00
2.056512e-14 1.676711e+00
2.310130e-14 1.633719e+00
2.595024e-14 1.670258e+00
2.915053e-14 1.751634e+00
3.274549e-14 1.769769e+00
3.678380e-14 1.681878e+00
4.132012e-14 2.039938e+00
4.641589e-14 1.932243e+00
5.214008e-14 2.013840e+00
5.857021e-14 2.107993e+00
6.579332e-14 1.952053e+00
7.390722e-14 2.217154e+00
8.302176e-14 2.128748e+00
9.326033e-14 2.208447e+00
1.047616e-13 2.082125e+00
1.176812e-13 2.320747e+00
1.321941e-13 2.044640e+00
1.484968e-13 2.288061e+00
1.668101e-13 2.240846e+00
1.873817e-13 2.133760e+00
2.104904e-13 2.413053e+00
2.364489e-13 2.664711e+00
2.656088e-13 2.206984e+00
2.983647e-13 2.516202e+00
3.351603e-13 2.864040e+00
3.764936e-13 2.679698e+00
4.229243e-13 2.896317e+00
4.750810e-13 2.900951e+00
5.336699e-13 3.079572e+00
5.994843e-13 2.961938e+00
6.734151e-13 2.775203e+00
7.564633e-13 3.338035e+00
8.497534e-13 3.310278e+00
9.545485e-13 3.345321e+00
1.072267e-12 3.226118e+00
1.204504e-12 3.488700e+00
1.353048e-12 3.566986e+00
1.519911e-12 3.631907e+00
1.707353e-12 3.836648e+00
1.917910e-12 3.714551e+00
2.154435e-12 3.697191e+00
2.420128e-12 3.957522e+00
2.718588e-12 4.246669e+00
3.053856e-12 4.346084e+00
3.430469e-12 4.173770e+00
3.853529e-12 4.484703e+00
4.328761e-12 4.746283e+00
4.862602e-12 5.036722e+00
5.462277e-12 4.583598e+00
6.135907e-12 5.030295e+00
6.892612e-12 5.298122e+00
7.742637e-12 5.664376e+00
8.697490e-12 5.828056e+00
9.770100e-12 5.965077e+00
1.097499e-11 5.872558e+00
1.232847e-11 6.672355e+00
1.384886e-11 6.712612e+00
1.555676e-11 6.850313e+00
1.747528e-11 6.948297e+00
1.963041e-11 7.195021e+00
2.205131e-11 7.236851e+00
2.477076e-11 7.578391e+00
2.782559e-11 7.658830e+00
3.125716e-11 8.638945e+00
3.511192e-11 8.578488e+00
3.944206e-11 8.862306e+00
4.430621e-11 9.921696e+00
4.977024e-11 9.876827e+00
5.590810e-11 9.938841e+00
6.280291e-11 1.092829e+01
7.054802e-11 1.164836e+01
7.924829e-11 1.207831e+01
8.902151e-11 1.236860e+01
1.000000e-10 1.321767e+01
