# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 1.562500e-01
1.123324e-15 1.562500e-01
1.261857e-15 1.562500e-01
1.417474e-15 1.562500e-01
1.592283e-15 1.562500e-01
1.788650e-15 1.562500e-01
2.009233e-15 1.562500e-01
2.257020e-15 1.562500e-01
2.535364e-15 1.562500e-01
2.848036e-15 1.562500e-01
3.199267e-15 1.562500e-01
3.593814e-15 1.562500e-01
4.037017e-15 1.562500e-01
4.534879e-15 1.610252e-01
5.094138e-15 1.661763e-01
5.722368e-15 1.962378e-01
6.428073e-15 1.917038e-01
7.220809e-15 2.497909e-01
8.111308e-15 3.649761e-01
9.111628e-15 4.665663e-01
1.023531e-14 7.928324e-01
1.149757e-14 8.998096e-01
1.291550e-14 1.217415e+00
1.450829e-14 1.510951e+00
1.629751e-14 2.084503e+00
1.830738e-14 2.310137e+00
2.056512e-14 2.435157e+00
2.310130e-14 2.544906e+00
2.595024e-14 3.009179e+00
2.915053e-14 3.462057e+00
3.274549e-14 3.761450e+00
3.678380e-14 4.124917e+00
4.132012e-14 4.031724e+00
4.641589e-14 4.642297e+00
5.214008e-14 4.853306e+00
5.857021e-14 5.268886e+00
6.579332e-14 5.461851e+00
7.390722e-14 5.779221e+00
8.302176e-14 6.558926e+00
9.326033e-14 6.891530e+00
1.047616e-13 7.119863e+00
1.176812e-13 7.633799e+00
1.321941e-13 8.552766e+00
1.484968e-13 9.001006e+00
1.668101e-13 9.802739e+00
1.873817e-13 9.777108e+00
2.104904e-13 1.073928e+01
2.364489e-13 1.157576e+01
2.656088e-13 1.203285e+01
2.983647e-13 1.223894e+01
3.351603e-13 1.302949e+01
3.764936e-13 1.385094e+01
4.229243e-13 1.469302e+01
4.750810e-13 1.541201e+01
5.336699e-13 1.588504e+01
5.994843e-13 1.689323e+01
6.734151e-13 1.699326e+01
7.564633e-13 1.781489e+01
8.497534e-13 1.876239e+01
9.545485e-13 1.913165e+01
1.072267e-12 2.027340e+01
1.204504e-12 2.061757e+01
1.353048e-12 2.139923e+01
1.519911e-12 2.115296e+01
1.707353e-12 2.288762e+01
1.917910e-12 2.440458e+01
2.154435e-12 2.455336e+01
2.420128e-12 2.407135e+01
2.718588e-12 2.600689e+01
3.053856e-12 2.691847e+01
3.430469e-12 2.694145e+01
3.853529e-12 2.629209e+01
4.328761e-12 2.889440e+01
4.862602e-12 2.733814e+01
5.462277e-12 2.845304e+01
6.135907e-12 2.907491e+01
6.892612e-12 2.894671e+01
7.742637e-12 2.932392e+01
8.697490e-12 3.062616e+01
9.770100e-12 3.122911e+01
1.097499e-11 3.187212e+01
1.232847e-11 3.204684e+01
1.384886e-11 3.256253e+01
1.555676e-11 3.410693e+01
1.747528e-11 3.444137e+01
1.963041e-11 3.463204e+01
2.205131e-11 3.707780e+01
2.477076e-11 3.507890e+01
2.782559e-11 3.714813e+01
3.125716e-11 3.707969e+01
3.511192e-11 3.961298e+01
3.944206e-11 4.231477e+01
4.430621e-11 4.077408e+01
4.977024e-11 4.338999e+01
5.590810e-11 4.110525e+01
6.280291e-11 4.423736e+01
7.054802e-11 4.336945e+01
7.924829e-11 4.833901e+01
8.902151e-11 4.724166e+01
1.000000e-10 4.723856e+01
