# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 1.562500e-01
1.123324e-15 1.562500e-01
1.261857e-15 1.562500e-01
1.417474e-15 1.562500e-01
1.592283e-15 1.562500e-01
1.788650e-15 2.252745e-01
2.009233e-15 2.931674e-01
2.257020e-15 3.833913e-01
2.535364e-15 5.345782e-01
2.848036e-15 5.749848e-01
3.199267e-15 5.717359e-01
3.593814e-15 7.403941e-01
4.037017e-15 1.084444e+00
4.534879e-15 8.416812e-01
5.094138e-15 9.110540e-01
5.722368e-15 1.002510e+00
6.428073e-15 1.246802e+00
7.220809e-15 1.307664e+00
8.111308e-15 1.318109e+00
9.111628e-15 1.569404e+00
1.023531e-14 1.622873e+00
1.149757e-14 1.527197e+00
1.291550e-14 1.649079e+00
1.450829e-14 1.678536e+00
1.629751e-14 1.764102e+00
1.830738e-14 1.953507e+00
2.056512e-14 2.155386e+00
2.310130e-14 2.143571e+00
2.595024e-14 2.204293e+00
2.915053e-14 2.373843e+00
3.274549e-14 2.407362e+00
3.678380e-14 2.414309e+00
4.132012e-14 2.529689e+00
4.641589e-14 2.769462e+00
5.214008e-14 2.649482e+00
5.857021e-14 3.035945e+00
6.579332e-14 2.924130e+00
7.390722e-14 2.573597e+00
8.302176e-14 2.894747e+00
9.326033e-14 3.628593e+00
1.047616e-13 3.133249e+00
1.176812e-13 3.246135e+00
1.321941e-13 3.647863e+00
1.484968e-13 3.422858e+00
1.668101e-13 3.772461e+00
1.873817e-13 3.795824e+00
2.104904e-13 3.931753e+00
2.364489e-13 3.820280e+00
2.656088e-13 4.050201e+00
2.983647e-13 3.795399e+00
3.351603e-13 3.969757e+00
3.764936e-13 3.866121e+00
4.229243e-13 4.429910e+00
4.750810e-13 4.426961e+00
5.336699e-13 4.494598e+00
5.994843e-13 4.634583e+00
6.734151e-13 4.656624e+00
7.564633e-13 4.927640e+00
8.497534e-13 5.032809e+00
9.545485e-13 4.853938e+00
1.072267e-12 5.049488e+00
1.204504e-12 5.174957e+00
1.353048e-12 5.658023e+00
1.519911e-12 5.598083e+00
1.707353e-12 5.320791e+00
1.917910e-12 5.594635e+00
2.154435e-12 5.719282e+00
2.420128e-12 5.698983e+00
2.718588e-12 6.142087e+00
3.053856e-12 6.032654e+00
3.430469e-12 5.868972e+00
3.853529e-12 6.333258e+00
4.328761e-12 5.994608e+00
4.862602e-12 6.347024e+00
5.462277e-12 6.492085e+00
6.135907e-12 7.444919e+00
6.892612e-12 7.242692e+00
7.742637e-12 7.055161e+00
8.697490e-12 7.324304e+00
9.770100e-12 7.402108e+00
1.097499e-11 7.700949e+00
1.232847e-11 7.976373e+00
1.384886e-11 7.714252e+00
1.555676e-11 8.368019e+00
1.747528e-11 9.014257e+00
1.963041e-11 8.422179e+00
2.205131e-11 8.367540e+00
2.477076e-11 9.230054e+00
2.782559e-11 8.969909e+00
3.125716e-11 9.601637e+00
3.511192e-11 1.061829e+01
3.944206e-11 1.028140e+01
4.430621e-11 1.126604e+01
4.977024e-11 1.100216e+01
5.590810e-11 1.153849e+01
6.280291e-11 1.190669e+01
7.054802e-11 1.270765e+01
7.924829e-11 1.255733e+01
8.902151e-11 1.292165e+01
1.000000e-10 1.428846e+01
