# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 1.562500e-01
1.123324e-15 1.562500e-01
1.261857e-15 1.562500e-01
1.417474e-15 1.562500e-01
1.592283e-15 1.562500e-01
1.788650e-15 1.562500e-01
2.009233e-15 1.562500e-01
2.257020e-15 1.562500e-01
2.535364e-15 1.562500e-01
2.848036e-15 1.562500e-01
3.199267e-15 1.562500e-01
3.593814e-15 1.562500e-01
4.037017e-15 1.660558e-01
4.534879e-15 1.698470e-01
5.094138e-15 1.800429e-01
5.722368e-15 1.962185e-01
6.428073e-15 2.039352e-01
7.220809e-15 2.167779e-01
8.111308e-15 2.334219e-01
9.111628e-15 2.452469e-01
1.023531e-14 2.743531e-01
1.149757e-14 2.840002e-01
1.291550e-14 3.107182e-01
1.450829e-14 3.208300e-01
1.629751e-14 3.484034e-01
1.830738e-14 3.670520e-01
2.056512e-14 4.597471e-01
2.310130e-14 8.520851e-01
2.595024e-14 2.013045e+00
2.915053e-14 2.879482e+00
3.274549e-14 3.781036e+00
3.678380e-14 4.317876e+00
4.132012e-14 4.646291e+00
4.641589e-14 5.045562e+00
5.214008e-14 5.463830e+00
5.857021e-14 6.046164e+00
6.579332e-14 6.547152e+00
7.390722e-14 7.027356e+00
8.302176e-14 7.768082e+00
9.326033e-14 8.453723e+00
1.047616e-13 9.017287e+00
1.176812e-13 9.999921e+00
1.321941e-13 1.091741e+01
1.484968e-13 1.210933e+01
1.668101e-13 1.309215e+01
1.873817e-13 1.451069e+01
2.104904e-13 1.591095e+01
2.364489e-13 1.761128e+01
2.656088e-13 1.919179e+01
2.983647e-13 2.145414e+01
3.351603e-13 2.383162e+01
3.764936e-13 2.597095e+01
4.229243e-13 2.874988e+01
4.750810e-13 3.174920e+01
5.336699e-13 3.577416e+01
5.994843e-13 3.901333e+01
6.734151e-13 4.369911e+01
7.564633e-13 4.899632e+01
8.497534e-13 5.370393e+01
9.545485e-13 6.002686e+01
1.072267e-12 6.722504e+01
1.204504e-12 7.332955e+01
1.353048e-12 8.401365e+01
1.519911e-12 9.340393e+01
1.707353e-12 1.049092e+02
1.917910e-12 1.151696e+02
2.154435e-12 1.284584e+02
2.420128e-12 1.457741e+02
2.718588e-12 1.627986e+02
3.053856e-12 1.804957e+02
3.430469e-12 2.033844e+02
3.853529e-12 2.254523e+02
4.328761e-12 2.492805e+02
4.862602e-12 2.857852e+02
5.462277e-12 3.183760e+02
6.135907e-12 3.551674e+02
6.892612e-12 3.977969e+02
7.742637e-12 4.487473e+02
8.697490e-12 4.908069e+02
9.770100e-12 5.548910e+02
1.097499e-11 6.222724e+02
1.232847e-11 7.128039e+02
1.384886e-11 7.932403e+02
1.555676e-11 8.865721e+02
1.747528e-11 9.913068e+02
1.963041e-11 1.134923e+03
2.205131e-11 1.243072e+03
2.477076e-11 1.417174e+03
2.782559e-11 1.595800e+03
3.125716e-11 1.776152e+03
3.511192e-11 1.994983e+03
3.944206e-11 2.214136e+03
4.430621e-11 2.527614e+03
4.977024e-11 2.859697e+03
5.590810e-11 3.160561e+03
6.280291e-11 3.584078e+03
7.054802e-11 3.938578e+03
7.924829e-11 4.523771e+03
8.902151e-11 5.060098e+03
1.000000e-10 5.613433e+03
