# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 1.562500e-01
1.123324e-15 2.879647e-01
1.261857e-15 4.064459e-01
1.417474e-15 3.571600e-01
1.592283e-15 5.515117e-01
1.788650e-15 7.356263e-01
2.009233e-15 5.536583e-01
2.257020e-15 4.959874e-01
2.535364e-15 4.951860e-01
2.848036e-15 7.050624e-01
3.199267e-15 9.790839e-01
3.593814e-15 9.124708e-01
4.037017e-15 8.338299e-01
4.534879e-15 1.354705e+00
5.094138e-15 8.807774e-01
5.722368e-15 1.375654e+00
6.428073e-15 1.206354e+00
7.220809e-15 1.192786e+00
8.111308e-15 1.219859e+00
9.111628e-15 1.190124e+00
1.023531e-14 1.277741e+00
1.149757e-14 1.172387e+00
1.291550e-14 1.467226e+00
1.450829e-14 1.670967e+00
1.629751e-14 1.395699e+00
1.830738e-14 1.609220e+00
2.056512e-14 1.428188e+00
2.310130e-14 1.821924e+00
2.595024e-14 2.013023e+00
2.915053e-14 1.966853e+00
3.274549e-14 1.915088e+00
3.678380e-14 1.969417e+00
4.132012e-14 1.933302e+00
4.641589e-14 2.074476e+00
5.214008e-14 2.298894e+00
5.857021e-14 2.254615e+00
6.579332e-14 2.472312e+00
7.390722e-14 2.388129e+00
8.302176e-14 2.307373e+00
9.326033e-14 2.398568e+00
1.047616e-13 2.414683e+00
1.176812e-13 2.427852e+00
1.321941e-13 2.606984e+00
1.484968e-13 2.601782e+00
1.668101e-13 2.789391e+00
1.873817e-13 2.751926e+00
2.104904e-13 2.869792e+00
2.364489e-13 2.701784e+00
2.656088e-13 2.875315e+00
2.983647e-13 2.996546e+00
3.351603e-13 2.819488e+00
3.764936e-13 3.479091e+00
4.229243e-13 3.087016e+00
4.750810e-13 3.442304e+00
5.336699e-13 3.178765e+00
5.994843e-13 3.215533e+00
6.734151e-13 3.464163e+00
7.564633e-13 3.396442e+00
8.497534e-13 3.647292e+00
9.545485e-13 3.674116e+00
1.072267e-12 3.609086e+00
1.204504e-12 3.856429e+00
1.353048e-12 3.244192e+00
1.519911e-12 4.001414e+00
1.707353e-12 3.925379e+00
1.917910e-12 4.090207e+00
2.154435e-12 4.311630e+00
2.420128e-12 4.228351e+00
2.718588e-12 4.504174e+00
3.053856e-12 4.420837e+00
3.430469e-12 4.764708e+00
3.853529e-12 5.196336e+00
4.328761e-12 5.012431e+00
4.862602e-12 4.878412e+00
5.462277e-12 5.433209e+00
6.135907e-12 5.418480e+00
6.892612e-12 5.384482e+00
7.742637e-12 5.809537e+00
8.697490e-12 5.842157e+00
9.770100e-12 6.527821e+00
1.097499e-11 6.390760e+00
1.232847e-11 6.462804e+00
1.384886e-11 7.052405e+00
1.555676e-11 7.178430e+00
1.747528e-11 6.819640e+00
1.963041e-11 7.445983e+00
2.205131e-11 7.736624e+00
2.477076e-11 7.757542e+00
2.782559e-11 7.988368e+00
3.125716e-11 8.599071e+00
3.511192e-11 8.430722e+00
3.944206e-11 9.437877e+00
4.430621e-11 9.613186e+00
4.977024e-11 1.001859e+01
5.590810e-11 1.080871e+01
6.280291e-11 1.085969e+01
7.054802e-11 1.117656e+01
7.924829e-11 1.194159e+01
8.902151e-11 1.239723e+01
1.000000e-10 1.333808e+01
