# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 1.562500e-01
1.123324e-15 1.562500e-01
1.261857e-15 1.562500e-01
1.417474e-15 1.562500e-01
1.592283e-15 1.562500e-01
1.788650e-15 1.562500e-01
2.009233e-15 1.562500e-01
2.257020e-15 1.562500e-01
2.535364e-15 1.562500e-01
2.848036e-15 1.562500e-01
3.199267e-15 1.562500e-01
3.593814e-15 1.774934e-01
4.037017e-15 1.743462e-01
4.534879e-15 2.495131e-01
5.094138e-15 2.169072e-01
5.722368e-15 5.369677e-01
6.428073e-15 5.332287e-01
7.220809e-15 7.411518e-01
8.111308e-15 9.804791e-01
9.111628e-15 1.193670e+00
1.023531e-14 1.550754e+00
1.149757e-14 1.730891e+00
1.291550e-14 1.936792e+00
1.450829e-14 2.499238e+00
1.629751e-14 2.336602e+00
1.830738e-14 2.367643e+00
2.056512e-14 2.540479e+00
2.310130e-14 2.979113e+00
2.595024e-14 3.001218e+00
2.915053e-14 2.993917e+00
3.274549e-14 3.347213e+00
3.678380e-14 3.382503e+00
4.132012e-14 3.799466e+00
4.641589e-14 3.965660e+00
5.214008e-14 4.301865e+00
5.857021e-14 4.457864e+00
6.579332e-14 4.765943e+00
7.390722e-14 4.774616e+00
8.302176e-14 5.174007e+00
9.326033e-14 5.175580e+00
1.047616e-13 5.587674e+00
1.176812e-13 5.735587e+00
1.321941e-13 6.507319e+00
1.484968e-13 6.461845e+00
1.668101e-13 6.610324e+00
1.873817e-13 6.949534e+00
2.104904e-13 7.360339e+00
2.364489e-13 7.328094e+00
2.656088e-13 7.961055e+00
2.983647e-13 8.124129e+00
3.351603e-13 8.362912e+00
3.764936e-13 8.078726e+00
4.229243e-13 8.861490e+00
4.750810e-13 8.769279e+00
5.336699e-13 9.254106e+00
5.994843e-13 9.439489e+00
6.734151e-13 9.375007e+00
7.564633e-13 1.038837e+01
8.497534e-13 1.010260e+01
9.545485e-13 1.015979e+01
1.072267e-12 1.113915e+01
1.204504e-12 1.115011e+01
1.353048e-12 1.134322e+01
1.519911e-12 1.174237e+01
1.707353e-12 1.119204e+01
1.917910e-12 1.285229e+01
2.154435e-12 1.261345e+01
2.420128e-12 1.200665e+01
2.718588e-12 1.280568e+01
3.053856e-12 1.245405e+01
3.430469e-12 1.352319e+01
3.853529e-12 1.316940e+01
4.328761e-12 1.348844e+01
4.862602e-12 1.459555e+01
5.462277e-12 1.436974e+01
6.135907e-12 1.458613e+01
6.892612e-12 1.425084e+01
7.742637e-12 1.485185e+01
8.697490e-12 1.459425e+01
9.770100e-12 1.514760e+01
1.097499e-11 1.546630e+01
1.232847e-11 1.521518e+01
1.384886e-11 1.478814e+01
1.555676e-11 1.661243e+01
1.747528e-11 1.700602e+01
1.963041e-11 1.797324e+01
2.205131e-11 1.640639e+01
2.477076e-11 1.846039e+01
2.782559e-11 1.804222e+01
3.125716e-11 1.846310e+01
3.511192e-11 1.883269e+01
3.944206e-11 1.899108e+01
4.430621e-11 2.053822e+01
4.977024e-11 1.995295e+01
5.590810e-11 1.999978e+01
6.280291e-11 2.164751e+01
7.054802e-11 2.213650e+01
7.924829e-11 2.196990e+01
8.902151e-11 2.322438e+01
1.000000e-10 2.289840e+01
