# mean_Gamma[s^-1]  lambda_mfp[phys_Mpc]
1.000000e-15 nan
1.123324e-15 nan
1.261857e-15 nan
1.417474e-15 nan
1.592283e-15 nan
1.788650e-15 nan
2.009233e-15 nan
2.257020e-15 nan
2.535364e-15 nan
2.848036e-15 nan
3.199267e-15 nan
3.593814e-15 nan
4.037017e-15 nan
4.534879e-15 nan
5.094138e-15 nan
5.722368e-15 nan
6.428073e-15 nan
7.220809e-15 nan
8.111308e-15 nan
9.111628e-15 nan
1.023531e-14 nan
1.149757e-14 nan
1.291550e-14 1.962665e+00
1.450829e-14 1.844017e+00
1.629751e-14 2.110582e+00
1.830738e-14 2.426401e+00
2.056512e-14 2.459288e+00
2.310130e-14 3.118103e+00
2.595024e-14 3.033529e+00
2.915053e-14 3.205475e+00
3.274549e-14 3.312694e+00
3.678380e-14 3.622133e+00
4.132012e-14 3.632548e+00
4.641589e-14 4.659953e+00
5.214008e-14 4.165021e+00
5.857021e-14 4.884112e+00
6.579332e-14 4.658981e+00
7.390722e-14 5.386436e+00
8.302176e-14 4.800048e+00
9.326033e-14 5.797048e+00
1.047616e-13 6.124502e+00
1.176812e-13 6.083636e+00
1.321941e-13 6.402398e+00
1.484968e-13 7.157221e+00
1.668101e-13 7.598079e+00
1.873817e-13 7.846213e+00
2.104904e-13 8.428521e+00
2.364489e-13 8.634648e+00
2.656088e-13 9.470478e+00
2.983647e-13 1.043328e+01
3.351603e-13 1.100259e+01
3.764936e-13 1.098557e+01
4.229243e-13 1.207185e+01
4.750810e-13 1.220844e+01
5.336699e-13 1.336034e+01
5.994843e-13 1.389349e+01
6.734151e-13 1.493420e+01
7.564633e-13 1.601488e+01
8.497534e-13 1.721496e+01
9.545485e-13 1.808567e+01
1.072267e-12 1.954366e+01
1.204504e-12 2.106538e+01
1.353048e-12 2.184519e+01
1.519911e-12 2.374023e+01
1.707353e-12 2.508167e+01
1.917910e-12 2.635460e+01
2.154435e-12 2.828534e+01
2.420128e-12 2.999561e+01
2.718588e-12 3.180607e+01
3.053856e-12 3.307271e+01
3.430469e-12 3.834231e+01
3.853529e-12 4.004219e+01
4.328761e-12 4.274231e+01
4.862602e-12 4.698487e+01
5.462277e-12 4.834087e+01
6.135907e-12 4.900007e+01
6.892612e-12 5.697631e+01
7.742637e-12 6.075785e+01
8.697490e-12 5.985345e+01
9.770100e-12 6.687527e+01
1.097499e-11 7.421960e+01
1.232847e-11 7.767701e+01
1.384886e-11 8.497010e+01
1.555676e-11 8.812534e+01
1.747528e-11 9.553732e+01
1.963041e-11 9.844735e+01
2.205131e-11 1.085572e+02
2.477076e-11 1.185097e+02
2.782559e-11 1.253771e+02
3.125716e-11 1.291434e+02
3.511192e-11 1.427802e+02
3.944206e-11 1.499268e+02
4.430621e-11 1.615984e+02
4.977024e-11 1.644570e+02
5.590810e-11 1.722270e+02
6.280291e-11 1.869694e+02
7.054802e-11 1.821680e+02
7.924829e-11 2.172108e+02
8.902151e-11 2.067542e+02
1.000000e-10 2.206496e+02
