# mean_Gamma[s^-1]  lambda_mfp[phys_Mpc]
1.000000e-15 nan
1.123324e-15 nan
1.261857e-15 nan
1.417474e-15 nan
1.592283e-15 nan
1.788650e-15 nan
2.009233e-15 nan
2.257020e-15 nan
2.535364e-15 nan
2.848036e-15 nan
3.199267e-15 nan
3.593814e-15 nan
4.037017e-15 nan
4.534879e-15 nan
5.094138e-15 nan
5.722368e-15 nan
6.428073e-15 nan
7.220809e-15 nan
8.111308e-15 1.843366e+00
9.111628e-15 nan
1.023531e-14 2.590486e+00
1.149757e-14 2.246028e+00
1.291550e-14 nan
1.450829e-14 2.333785e+00
1.629751e-14 3.796834e+00
1.830738e-14 2.454268e+00
2.056512e-14 3.542122e+00
2.310130e-14 3.173575e+00
2.595024e-14 5.190585e+00
2.915053e-14 3.421105e+00
3.274549e-14 3.319079e+00
3.678380e-14 3.521214e+00
4.132012e-14 4.278233e+00
4.641589e-14 3.844576e+00
5.214008e-14 3.822201e+00
5.857021e-14 5.182428e+00
6.579332e-14 5.829185e+00
7.390722e-14 6.188374e+00
8.302176e-14 6.022071e+00
9.326033e-14 5.748188e+00
1.047616e-13 5.320511e+00
1.176812e-13 5.946768e+00
1.321941e-13 6.992972e+00
1.484968e-13 7.111296e+00
1.668101e-13 7.578143e+00
1.873817e-13 7.384479e+00
2.104904e-13 7.868140e+00
2.364489e-13 7.961707e+00
2.656088e-13 9.016811e+00
2.983647e-13 1.003105e+01
3.351603e-13 1.027601e+01
3.764936e-13 1.166832e+01
4.229243e-13 1.120635e+01
4.750810e-13 1.066909e+01
5.336699e-13 1.186886e+01
5.994843e-13 1.207734e+01
6.734151e-13 1.297953e+01
7.564633e-13 1.281443e+01
8.497534e-13 1.296678e+01
9.545485e-13 1.417533e+01
1.072267e-12 1.600552e+01
1.204504e-12 1.495644e+01
1.353048e-12 1.440663e+01
1.519911e-12 1.559843e+01
1.707353e-12 1.483305e+01
1.917910e-12 1.639944e+01
2.154435e-12 1.867081e+01
2.420128e-12 1.621293e+01
2.718588e-12 1.547380e+01
3.053856e-12 1.966770e+01
3.430469e-12 1.731267e+01
3.853529e-12 1.687699e+01
4.328761e-12 1.984638e+01
4.862602e-12 1.827294e+01
5.462277e-12 1.838939e+01
6.135907e-12 1.871877e+01
6.892612e-12 2.027580e+01
7.742637e-12 1.823167e+01
8.697490e-12 2.208993e+01
9.770100e-12 2.140705e+01
1.097499e-11 2.027460e+01
1.232847e-11 2.119649e+01
1.384886e-11 2.213299e+01
1.555676e-11 2.222731e+01
1.747528e-11 2.179929e+01
1.963041e-11 2.373515e+01
2.205131e-11 2.427255e+01
2.477076e-11 2.389189e+01
2.782559e-11 2.639523e+01
3.125716e-11 2.673820e+01
3.511192e-11 2.685986e+01
3.944206e-11 2.741381e+01
4.430621e-11 2.874094e+01
4.977024e-11 2.982754e+01
5.590810e-11 3.035587e+01
6.280291e-11 3.388757e+01
7.054802e-11 3.381649e+01
7.924829e-11 3.497073e+01
8.902151e-11 3.509055e+01
1.000000e-10 3.826481e+01
