# mean_Gamma[s^-1]  lambda_mfp[phys_Mpc]
1.000000e-15 nan
1.123324e-15 nan
1.261857e-15 nan
1.417474e-15 nan
1.592283e-15 nan
1.788650e-15 nan
2.009233e-15 nan
2.257020e-15 nan
2.535364e-15 nan
2.848036e-15 nan
3.199267e-15 nan
3.593814e-15 nan
4.037017e-15 nan
4.534879e-15 nan
5.094138e-15 nan
5.722368e-15 nan
6.428073e-15 nan
7.220809e-15 nan
8.111308e-15 1.911105e+00
9.111628e-15 nan
1.023531e-14 2.085924e+00
1.149757e-14 2.095739e+00
1.291550e-14 1.751632e+00
1.450829e-14 2.320217e+00
1.629751e-14 2.949497e+00
1.830738e-14 3.393389e+00
2.056512e-14 2.975781e+00
2.310130e-14 4.213254e+00
2.595024e-14 3.788959e+00
2.915053e-14 4.186134e+00
3.274549e-14 3.773216e+00
3.678380e-14 4.195362e+00
4.132012e-14 3.941614e+00
4.641589e-14 3.600184e+00
5.214008e-14 4.316971e+00
5.857021e-14 5.844726e+00
6.579332e-14 5.675905e+00
7.390722e-14 5.850694e+00
8.302176e-14 5.873475e+00
9.326033e-14 6.775611e+00
1.047616e-13 8.314520e+00
1.176812e-13 8.033012e+00
1.321941e-13 8.389347e+00
1.484968e-13 9.591984e+00
1.668101e-13 8.658121e+00
1.873817e-13 1.048391e+01
2.104904e-13 9.113947e+00
2.364489e-13 1.099088e+01
2.656088e-13 1.107370e+01
2.983647e-13 1.180343e+01
3.351603e-13 1.345975e+01
3.764936e-13 1.354854e+01
4.229243e-13 1.543896e+01
4.750810e-13 1.664512e+01
5.336699e-13 1.520864e+01
5.994843e-13 1.689305e+01
6.734151e-13 1.877181e+01
7.564633e-13 2.109109e+01
8.497534e-13 2.107426e+01
9.545485e-13 2.081359e+01
1.072267e-12 2.066939e+01
1.204504e-12 2.351464e+01
1.353048e-12 2.387237e+01
1.519911e-12 2.594728e+01
1.707353e-12 2.548475e+01
1.917910e-12 2.938551e+01
2.154435e-12 2.892280e+01
2.420128e-12 3.251969e+01
2.718588e-12 3.203554e+01
3.053856e-12 3.137633e+01
3.430469e-12 3.558131e+01
3.853529e-12 3.643544e+01
4.328761e-12 3.728860e+01
4.862602e-12 3.930588e+01
5.462277e-12 3.921390e+01
6.135907e-12 4.361573e+01
6.892612e-12 4.239419e+01
7.742637e-12 4.350833e+01
8.697490e-12 4.616252e+01
9.770100e-12 4.584684e+01
1.097499e-11 4.929895e+01
1.232847e-11 4.690348e+01
1.384886e-11 4.810869e+01
1.555676e-11 5.041261e+01
1.747528e-11 5.486561e+01
1.963041e-11 5.334655e+01
2.205131e-11 5.463903e+01
2.477076e-11 5.735198e+01
2.782559e-11 5.928024e+01
3.125716e-11 6.074235e+01
3.511192e-11 5.967902e+01
3.944206e-11 6.302295e+01
4.430621e-11 6.552402e+01
4.977024e-11 6.015458e+01
5.590810e-11 6.481696e+01
6.280291e-11 5.998505e+01
7.054802e-11 6.926208e+01
7.924829e-11 6.452850e+01
8.902151e-11 7.080238e+01
1.000000e-10 7.493784e+01
