# mean_Gamma[s^-1]  lambda_mfp[phys_Mpc]
1.000000e-15 nan
1.123324e-15 nan
1.261857e-15 nan
1.417474e-15 nan
1.592283e-15 nan
1.788650e-15 nan
2.009233e-15 nan
2.257020e-15 nan
2.535364e-15 nan
2.848036e-15 nan
3.199267e-15 nan
3.593814e-15 nan
4.037017e-15 nan
4.534879e-15 nan
5.094138e-15 nan
5.722368e-15 nan
6.428073e-15 nan
7.220809e-15 nan
8.111308e-15 nan
9.111628e-15 2.169870e+00
1.023531e-14 1.883458e+00
1.149757e-14 1.887690e+00
1.291550e-14 2.542559e+00
1.450829e-14 2.885163e+00
1.629751e-14 2.825381e+00
1.830738e-14 4.466553e+00
2.056512e-14 2.436942e+00
2.310130e-14 3.151107e+00
2.595024e-14 4.280440e+00
2.915053e-14 3.132190e+00
3.274549e-14 4.488718e+00
3.678380e-14 4.905882e+00
4.132012e-14 3.661380e+00
4.641589e-14 5.269662e+00
5.214008e-14 5.185243e+00
5.857021e-14 6.022061e+00
6.579332e-14 7.082897e+00
7.390722e-14 7.216992e+00
8.302176e-14 6.936714e+00
9.326033e-14 7.244829e+00
1.047616e-13 7.900372e+00
1.176812e-13 7.528983e+00
1.321941e-13 8.645220e+00
1.484968e-13 7.799376e+00
1.668101e-13 9.995815e+00
1.873817e-13 9.394234e+00
2.104904e-13 9.389240e+00
2.364489e-13 8.815477e+00
2.656088e-13 1.118605e+01
2.983647e-13 1.162231e+01
3.351603e-13 1.066307e+01
3.764936e-13 1.347680e+01
4.229243e-13 1.390898e+01
4.750810e-13 1.435438e+01
5.336699e-13 1.408537e+01
5.994843e-13 1.451204e+01
6.734151e-13 1.663650e+01
7.564633e-13 1.689390e+01
8.497534e-13 1.674998e+01
9.545485e-13 1.771805e+01
1.072267e-12 1.702279e+01
1.204504e-12 1.876985e+01
1.353048e-12 1.887145e+01
1.519911e-12 2.079068e+01
1.707353e-12 1.936481e+01
1.917910e-12 2.181115e+01
2.154435e-12 1.947598e+01
2.420128e-12 2.186981e+01
2.718588e-12 2.179673e+01
3.053856e-12 2.203849e+01
3.430469e-12 2.362428e+01
3.853529e-12 2.270970e+01
4.328761e-12 2.348743e+01
4.862602e-12 2.317437e+01
5.462277e-12 2.495716e+01
6.135907e-12 2.460677e+01
6.892612e-12 2.586644e+01
7.742637e-12 2.508494e+01
8.697490e-12 2.595155e+01
9.770100e-12 2.814495e+01
1.097499e-11 2.842346e+01
1.232847e-11 2.887552e+01
1.384886e-11 2.925852e+01
1.555676e-11 3.099376e+01
1.747528e-11 3.233946e+01
1.963041e-11 2.729029e+01
2.205131e-11 3.143988e+01
2.477076e-11 3.092521e+01
2.782559e-11 3.437089e+01
3.125716e-11 3.411014e+01
3.511192e-11 3.028357e+01
3.944206e-11 3.600321e+01
4.430621e-11 3.560257e+01
4.977024e-11 3.558407e+01
5.590810e-11 3.995592e+01
6.280291e-11 3.593906e+01
7.054802e-11 3.787392e+01
7.924829e-11 4.103005e+01
8.902151e-11 4.479293e+01
1.000000e-10 4.431499e+01
