# mean_Gamma[s^-1]  lambda_mfp[phys_Mpc]
1.000000e-15 nan
1.123324e-15 nan
1.261857e-15 nan
1.417474e-15 nan
1.592283e-15 nan
1.788650e-15 nan
2.009233e-15 nan
2.257020e-15 nan
2.535364e-15 nan
2.848036e-15 nan
3.199267e-15 nan
3.593814e-15 nan
4.037017e-15 nan
4.534879e-15 2.451581e+00
5.094138e-15 nan
5.722368e-15 nan
6.428073e-15 nan
7.220809e-15 1.914561e+00
8.111308e-15 2.833817e+00
9.111628e-15 nan
1.023531e-14 1.730059e+00
1.149757e-14 2.238346e+00
1.291550e-14 1.961840e+00
1.450829e-14 2.760952e+00
1.629751e-14 2.177895e+00
1.830738e-14 2.397610e+00
2.056512e-14 2.401252e+00
2.310130e-14 3.038331e+00
2.595024e-14 2.520782e+00
2.915053e-14 3.803841e+00
3.274549e-14 3.156291e+00
3.678380e-14 3.418190e+00
4.132012e-14 5.112886e+00
4.641589e-14 5.933960e+00
5.214008e-14 5.039279e+00
5.857021e-14 5.001923e+00
6.579332e-14 5.965909e+00
7.390722e-14 5.560855e+00
8.302176e-14 5.832644e+00
9.326033e-14 5.666846e+00
1.047616e-13 7.067304e+00
1.176812e-13 6.941588e+00
1.321941e-13 8.594575e+00
1.484968e-13 8.958875e+00
1.668101e-13 8.847948e+00
1.873817e-13 9.942565e+00
2.104904e-13 1.022719e+01
2.364489e-13 1.013232e+01
2.656088e-13 1.076888e+01
2.983647e-13 1.279915e+01
3.351603e-13 1.364541e+01
3.764936e-13 1.351732e+01
4.229243e-13 1.533160e+01
4.750810e-13 1.565942e+01
5.336699e-13 1.629377e+01
5.994843e-13 1.730409e+01
6.734151e-13 1.754865e+01
7.564633e-13 1.879246e+01
8.497534e-13 2.055932e+01
9.545485e-13 2.168409e+01
1.072267e-12 2.228647e+01
1.204504e-12 2.309476e+01
1.353048e-12 2.454272e+01
1.519911e-12 2.581605e+01
1.707353e-12 2.659724e+01
1.917910e-12 2.866986e+01
2.154435e-12 3.009132e+01
2.420128e-12 3.258786e+01
2.718588e-12 3.270014e+01
3.053856e-12 3.191841e+01
3.430469e-12 3.432276e+01
3.853529e-12 3.413547e+01
4.328761e-12 3.749373e+01
4.862602e-12 3.812955e+01
5.462277e-12 4.091311e+01
6.135907e-12 4.466553e+01
6.892612e-12 4.306298e+01
7.742637e-12 4.659254e+01
8.697490e-12 4.840284e+01
9.770100e-12 5.199362e+01
1.097499e-11 5.047113e+01
1.232847e-11 4.968526e+01
1.384886e-11 5.636799e+01
1.555676e-11 5.463162e+01
1.747528e-11 5.606001e+01
1.963041e-11 6.215193e+01
2.205131e-11 6.067974e+01
2.477076e-11 6.542756e+01
2.782559e-11 6.461582e+01
3.125716e-11 7.050742e+01
3.511192e-11 6.951076e+01
3.944206e-11 7.038998e+01
4.430621e-11 7.239233e+01
4.977024e-11 6.880487e+01
5.590810e-11 6.629261e+01
6.280291e-11 6.749447e+01
7.054802e-11 7.313621e+01
7.924829e-11 7.710009e+01
8.902151e-11 7.208487e+01
1.000000e-10 7.693785e+01
