# mean_Gamma[s^-1]  lambda_mfp[phys_Mpc]
1.000000e-15 nan
1.123324e-15 nan
1.261857e-15 nan
1.417474e-15 nan
1.592283e-15 nan
1.788650e-15 nan
2.009233e-15 nan
2.257020e-15 nan
2.535364e-15 nan
2.848036e-15 nan
3.199267e-15 nan
3.593814e-15 nan
4.037017e-15 nan
4.534879e-15 nan
5.094138e-15 nan
5.722368e-15 nan
6.428073e-15 nan
7.220809e-15 nan
8.111308e-15 2.179626e+00
9.111628e-15 nan
1.023531e-14 2.195634e+00
1.149757e-14 nan
1.291550e-14 1.585435e+00
1.450829e-14 3.176139e+00
1.629751e-14 3.415841e+00
1.830738e-14 4.396363e+00
2.056512e-14 3.978980e+00
2.310130e-14 4.146489e+00
2.595024e-14 5.210494e+00
2.915053e-14 4.193628e+00
3.274549e-14 4.507802e+00
3.678380e-14 4.226225e+00
4.132012e-14 3.517862e+00
4.641589e-14 3.937552e+00
5.214008e-14 4.515531e+00
5.857021e-14 5.172151e+00
6.579332e-14 5.481097e+00
7.390722e-14 6.200980e+00
8.302176e-14 6.208925e+00
9.326033e-14 5.698358e+00
1.047616e-13 6.823155e+00
1.176812e-13 7.339939e+00
1.321941e-13 8.445577e+00
1.484968e-13 7.830347e+00
1.668101e-13 9.612110e+00
1.873817e-13 7.158832e+00
2.104904e-13 8.823842e+00
2.364489e-13 9.631968e+00
2.656088e-13 9.877923e+00
2.983647e-13 1.158446e+01
3.351603e-13 1.123877e+01
3.764936e-13 1.286273e+01
4.229243e-13 1.198165e+01
4.750810e-13 1.145363e+01
5.336699e-13 1.229162e+01
5.994843e-13 1.270833e+01
6.734151e-13 1.218051e+01
7.564633e-13 1.383589e+01
8.497534e-13 1.403194e+01
9.545485e-13 1.675115e+01
1.072267e-12 1.537082e+01
1.204504e-12 1.808843e+01
1.353048e-12 1.757918e+01
1.519911e-12 1.770039e+01
1.707353e-12 1.840637e+01
1.917910e-12 1.957891e+01
2.154435e-12 1.536344e+01
2.420128e-12 1.893801e+01
2.718588e-12 2.053198e+01
3.053856e-12 1.929907e+01
3.430469e-12 1.899804e+01
3.853529e-12 1.890716e+01
4.328761e-12 1.967197e+01
4.862602e-12 2.063296e+01
5.462277e-12 1.962622e+01
6.135907e-12 2.159592e+01
6.892612e-12 2.161190e+01
7.742637e-12 2.168653e+01
8.697490e-12 2.176326e+01
9.770100e-12 2.288882e+01
1.097499e-11 2.317576e+01
1.232847e-11 2.271542e+01
1.384886e-11 2.253323e+01
1.555676e-11 2.604072e+01
1.747528e-11 2.529851e+01
1.963041e-11 2.583803e+01
2.205131e-11 2.723765e+01
2.477076e-11 2.648754e+01
2.782559e-11 2.666711e+01
3.125716e-11 2.849761e+01
3.511192e-11 2.988617e+01
3.944206e-11 3.049916e+01
4.430621e-11 3.057858e+01
4.977024e-11 3.211386e+01
5.590810e-11 3.217262e+01
6.280291e-11 3.308850e+01
7.054802e-11 3.541051e+01
7.924829e-11 3.432876e+01
8.902151e-11 3.794106e+01
1.000000e-10 3.944403e+01
