# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 1.562500e-01
1.123324e-15 1.562500e-01
1.261857e-15 1.684054e-01
1.417474e-15 1.655233e-01
1.592283e-15 1.562500e-01
1.788650e-15 2.169792e-01
2.009233e-15 2.291347e-01
2.257020e-15 2.199682e-01
2.535364e-15 4.318461e-01
2.848036e-15 3.518224e-01
3.199267e-15 7.740472e-01
3.593814e-15 5.569131e-01
4.037017e-15 8.146092e-01
4.534879e-15 8.393469e-01
5.094138e-15 7.956082e-01
5.722368e-15 9.105414e-01
6.428073e-15 1.258591e+00
7.220809e-15 1.083968e+00
8.111308e-15 1.067134e+00
9.111628e-15 1.322571e+00
1.023531e-14 1.335905e+00
1.149757e-14 1.485397e+00
1.291550e-14 1.462830e+00
1.450829e-14 1.577624e+00
1.629751e-14 1.752746e+00
1.830738e-14 2.075634e+00
2.056512e-14 1.869539e+00
2.310130e-14 1.984179e+00
2.595024e-14 2.091031e+00
2.915053e-14 2.239072e+00
3.274549e-14 2.252820e+00
3.678380e-14 2.377515e+00
4.132012e-14 2.491040e+00
4.641589e-14 2.211933e+00
5.214008e-14 2.673071e+00
5.857021e-14 2.877814e+00
6.579332e-14 2.787999e+00
7.390722e-14 3.020386e+00
8.302176e-14 3.077393e+00
9.326033e-14 3.181125e+00
1.047616e-13 3.215885e+00
1.176812e-13 3.232572e+00
1.321941e-13 3.345054e+00
1.484968e-13 3.217698e+00
1.668101e-13 3.484724e+00
1.873817e-13 3.533288e+00
2.104904e-13 3.628705e+00
2.364489e-13 4.091732e+00
2.656088e-13 3.694096e+00
2.983647e-13 3.668196e+00
3.351603e-13 4.228035e+00
3.764936e-13 4.240158e+00
4.229243e-13 4.257706e+00
4.750810e-13 4.172915e+00
5.336699e-13 4.731758e+00
5.994843e-13 4.029440e+00
6.734151e-13 4.728552e+00
7.564633e-13 4.470170e+00
8.497534e-13 4.781123e+00
9.545485e-13 4.818319e+00
1.072267e-12 5.061502e+00
1.204504e-12 4.640793e+00
1.353048e-12 5.422632e+00
1.519911e-12 5.373862e+00
1.707353e-12 5.269003e+00
1.917910e-12 5.493185e+00
2.154435e-12 5.478723e+00
2.420128e-12 6.273544e+00
2.718588e-12 5.448640e+00
3.053856e-12 6.028859e+00
3.430469e-12 6.043287e+00
3.853529e-12 6.170825e+00
4.328761e-12 6.481248e+00
4.862602e-12 6.491222e+00
5.462277e-12 6.791494e+00
6.135907e-12 6.758103e+00
6.892612e-12 6.761523e+00
7.742637e-12 6.727753e+00
8.697490e-12 7.285607e+00
9.770100e-12 7.271130e+00
1.097499e-11 7.699742e+00
1.232847e-11 7.889823e+00
1.384886e-11 8.027247e+00
1.555676e-11 8.138415e+00
1.747528e-11 8.571794e+00
1.963041e-11 8.727609e+00
2.205131e-11 9.167639e+00
2.477076e-11 8.597897e+00
2.782559e-11 9.318685e+00
3.125716e-11 9.837661e+00
3.511192e-11 9.507710e+00
3.944206e-11 9.917368e+00
4.430621e-11 1.096935e+01
4.977024e-11 1.027084e+01
5.590810e-11 1.150665e+01
6.280291e-11 1.181555e+01
7.054802e-11 1.181729e+01
7.924829e-11 1.232537e+01
8.902151e-11 1.204637e+01
1.000000e-10 1.293042e+01
