# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 1.150408e-01
1.123324e-15 1.043165e-01
1.261857e-15 1.562500e-01
1.417474e-15 1.562500e-01
1.592283e-15 1.088630e-01
1.788650e-15 1.562500e-01
2.009233e-15 1.562500e-01
2.257020e-15 1.562500e-01
2.535364e-15 1.562500e-01
2.848036e-15 1.562500e-01
3.199267e-15 1.562500e-01
3.593814e-15 1.562500e-01
4.037017e-15 1.562500e-01
4.534879e-15 1.562500e-01
5.094138e-15 1.786687e-01
5.722368e-15 2.646532e-01
6.428073e-15 2.544848e-01
7.220809e-15 4.957135e-01
8.111308e-15 5.922500e-01
9.111628e-15 7.409373e-01
1.023531e-14 1.108913e+00
1.149757e-14 1.391214e+00
1.291550e-14 1.544356e+00
1.450829e-14 1.717132e+00
1.629751e-14 1.811072e+00
1.830738e-14 2.157650e+00
2.056512e-14 2.173298e+00
2.310130e-14 2.624018e+00
2.595024e-14 2.811798e+00
2.915053e-14 2.753257e+00
3.274549e-14 3.023561e+00
3.678380e-14 3.583953e+00
4.132012e-14 3.482131e+00
4.641589e-14 3.753571e+00
5.214008e-14 4.098836e+00
5.857021e-14 4.461748e+00
6.579332e-14 4.708849e+00
7.390722e-14 4.836857e+00
8.302176e-14 5.268646e+00
9.326033e-14 5.759042e+00
1.047616e-13 5.899568e+00
1.176812e-13 6.289206e+00
1.321941e-13 6.437613e+00
1.484968e-13 7.054768e+00
1.668101e-13 7.236783e+00
1.873817e-13 7.822508e+00
2.104904e-13 8.046572e+00
2.364489e-13 8.818103e+00
2.656088e-13 9.060064e+00
2.983647e-13 9.517825e+00
3.351603e-13 9.958360e+00
3.764936e-13 1.016356e+01
4.229243e-13 1.065013e+01
4.750810e-13 1.149674e+01
5.336699e-13 1.150228e+01
5.994843e-13 1.195535e+01
6.734151e-13 1.262315e+01
7.564633e-13 1.295208e+01
8.497534e-13 1.290806e+01
9.545485e-13 1.321109e+01
1.072267e-12 1.369925e+01
1.204504e-12 1.432654e+01
1.353048e-12 1.533576e+01
1.519911e-12 1.472609e+01
1.707353e-12 1.533918e+01
1.917910e-12 1.569102e+01
2.154435e-12 1.570750e+01
2.420128e-12 1.703485e+01
2.718588e-12 1.596912e+01
3.053856e-12 1.740739e+01
3.430469e-12 1.722481e+01
3.853529e-12 1.787548e+01
4.328761e-12 1.869370e+01
4.862602e-12 1.830304e+01
5.462277e-12 1.812595e+01
6.135907e-12 1.896467e+01
6.892612e-12 1.958882e+01
7.742637e-12 1.965050e+01
8.697490e-12 1.922619e+01
9.770100e-12 2.040770e+01
1.097499e-11 2.081403e+01
1.232847e-11 2.170686e+01
1.384886e-11 2.201421e+01
1.555676e-11 2.217690e+01
1.747528e-11 2.328597e+01
1.963041e-11 2.296571e+01
2.205131e-11 2.273172e+01
2.477076e-11 2.484026e+01
2.782559e-11 2.415739e+01
3.125716e-11 2.643126e+01
3.511192e-11 2.655307e+01
3.944206e-11 2.532537e+01
4.430621e-11 2.799106e+01
4.977024e-11 2.746987e+01
5.590810e-11 2.725515e+01
6.280291e-11 2.814877e+01
7.054802e-11 2.904139e+01
7.924829e-11 3.094601e+01
8.902151e-11 3.052768e+01
1.000000e-10 3.124287e+01
