# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 1.562500e-01
1.123324e-15 1.124493e-01
1.261857e-15 1.516067e-01
1.417474e-15 1.212090e-01
1.592283e-15 1.562500e-01
1.788650e-15 1.307424e-01
2.009233e-15 1.562500e-01
2.257020e-15 1.562500e-01
2.535364e-15 1.636413e-01
2.848036e-15 2.526992e-01
3.199267e-15 1.956441e-01
3.593814e-15 2.386459e-01
4.037017e-15 4.337865e-01
4.534879e-15 6.628272e-01
5.094138e-15 5.619052e-01
5.722368e-15 8.573004e-01
6.428073e-15 1.140151e+00
7.220809e-15 9.556138e-01
8.111308e-15 1.063402e+00
9.111628e-15 1.263998e+00
1.023531e-14 1.425905e+00
1.149757e-14 1.504203e+00
1.291550e-14 1.651015e+00
1.450829e-14 1.847705e+00
1.629751e-14 1.863308e+00
1.830738e-14 2.184830e+00
2.056512e-14 2.160998e+00
2.310130e-14 2.298339e+00
2.595024e-14 2.262600e+00
2.915053e-14 2.467205e+00
3.274549e-14 2.578355e+00
3.678380e-14 2.719717e+00
4.132012e-14 2.804096e+00
4.641589e-14 2.926164e+00
5.214008e-14 3.124300e+00
5.857021e-14 3.222493e+00
6.579332e-14 3.236485e+00
7.390722e-14 3.325078e+00
8.302176e-14 3.591002e+00
9.326033e-14 3.737811e+00
1.047616e-13 4.043754e+00
1.176812e-13 4.258204e+00
1.321941e-13 4.257810e+00
1.484968e-13 4.143281e+00
1.668101e-13 4.724936e+00
1.873817e-13 4.683591e+00
2.104904e-13 4.583702e+00
2.364489e-13 5.298688e+00
2.656088e-13 4.837430e+00
2.983647e-13 5.022359e+00
3.351603e-13 5.151689e+00
3.764936e-13 5.321047e+00
4.229243e-13 5.743557e+00
4.750810e-13 5.685858e+00
5.336699e-13 5.864118e+00
5.994843e-13 6.180527e+00
6.734151e-13 6.082160e+00
7.564633e-13 5.912392e+00
8.497534e-13 6.492389e+00
9.545485e-13 6.384975e+00
1.072267e-12 6.605577e+00
1.204504e-12 6.830641e+00
1.353048e-12 7.220796e+00
1.519911e-12 6.990943e+00
1.707353e-12 7.278628e+00
1.917910e-12 7.483038e+00
2.154435e-12 7.910541e+00
2.420128e-12 7.350277e+00
2.718588e-12 8.149002e+00
3.053856e-12 8.051609e+00
3.430469e-12 7.564676e+00
3.853529e-12 8.093234e+00
4.328761e-12 7.896636e+00
4.862602e-12 8.630910e+00
5.462277e-12 8.544000e+00
6.135907e-12 8.342301e+00
6.892612e-12 9.013283e+00
7.742637e-12 9.564856e+00
8.697490e-12 9.482115e+00
9.770100e-12 9.892577e+00
1.097499e-11 9.470751e+00
1.232847e-11 1.006171e+01
1.384886e-11 1.017502e+01
1.555676e-11 1.052594e+01
1.747528e-11 1.051763e+01
1.963041e-11 1.100823e+01
2.205131e-11 1.069564e+01
2.477076e-11 1.097812e+01
2.782559e-11 1.199112e+01
3.125716e-11 1.157828e+01
3.511192e-11 1.266082e+01
3.944206e-11 1.267747e+01
4.430621e-11 1.257483e+01
4.977024e-11 1.370047e+01
5.590810e-11 1.365363e+01
6.280291e-11 1.402570e+01
7.054802e-11 1.441847e+01
7.924829e-11 1.470992e+01
8.902151e-11 1.472567e+01
1.000000e-10 1.499813e+01
