# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 1.136703e-01
1.123324e-15 1.151747e-01
1.261857e-15 1.109745e-01
1.417474e-15 1.562500e-01
1.592283e-15 1.562500e-01
1.788650e-15 1.562500e-01
2.009233e-15 1.562500e-01
2.257020e-15 1.562500e-01
2.535364e-15 1.562500e-01
2.848036e-15 1.562500e-01
3.199267e-15 1.562500e-01
3.593814e-15 2.004847e-01
4.037017e-15 2.991365e-01
4.534879e-15 2.585348e-01
5.094138e-15 6.375442e-01
5.722368e-15 7.257506e-01
6.428073e-15 7.256480e-01
7.220809e-15 1.054582e+00
8.111308e-15 1.068241e+00
9.111628e-15 1.275626e+00
1.023531e-14 1.635748e+00
1.149757e-14 1.610170e+00
1.291550e-14 1.571734e+00
1.450829e-14 1.663492e+00
1.629751e-14 1.977316e+00
1.830738e-14 2.079072e+00
2.056512e-14 1.987689e+00
2.310130e-14 2.309072e+00
2.595024e-14 2.470156e+00
2.915053e-14 2.609276e+00
3.274549e-14 2.719468e+00
3.678380e-14 3.105328e+00
4.132012e-14 3.104065e+00
4.641589e-14 3.411342e+00
5.214008e-14 3.478187e+00
5.857021e-14 3.590601e+00
6.579332e-14 3.850436e+00
7.390722e-14 4.117453e+00
8.302176e-14 4.362329e+00
9.326033e-14 4.634556e+00
1.047616e-13 4.583687e+00
1.176812e-13 4.828376e+00
1.321941e-13 5.016589e+00
1.484968e-13 4.830756e+00
1.668101e-13 5.133371e+00
1.873817e-13 5.628360e+00
2.104904e-13 5.900803e+00
2.364489e-13 5.997291e+00
2.656088e-13 5.914621e+00
2.983647e-13 5.868535e+00
3.351603e-13 7.008101e+00
3.764936e-13 6.295429e+00
4.229243e-13 7.087627e+00
4.750810e-13 6.994261e+00
5.336699e-13 7.587421e+00
5.994843e-13 7.420165e+00
6.734151e-13 8.071980e+00
7.564633e-13 7.744135e+00
8.497534e-13 8.035303e+00
9.545485e-13 8.223845e+00
1.072267e-12 8.531223e+00
1.204504e-12 8.715963e+00
1.353048e-12 8.768826e+00
1.519911e-12 9.010602e+00
1.707353e-12 8.539150e+00
1.917910e-12 9.781936e+00
2.154435e-12 9.536064e+00
2.420128e-12 9.799279e+00
2.718588e-12 9.398933e+00
3.053856e-12 1.047039e+01
3.430469e-12 1.014053e+01
3.853529e-12 1.006338e+01
4.328761e-12 1.084531e+01
4.862602e-12 1.060215e+01
5.462277e-12 1.074801e+01
6.135907e-12 1.085254e+01
6.892612e-12 1.166206e+01
7.742637e-12 1.103485e+01
8.697490e-12 1.110802e+01
9.770100e-12 1.151556e+01
1.097499e-11 1.168496e+01
1.232847e-11 1.178339e+01
1.384886e-11 1.270058e+01
1.555676e-11 1.237534e+01
1.747528e-11 1.308559e+01
1.963041e-11 1.338705e+01
2.205131e-11 1.298847e+01
2.477076e-11 1.353778e+01
2.782559e-11 1.390989e+01
3.125716e-11 1.450875e+01
3.511192e-11 1.431236e+01
3.944206e-11 1.409817e+01
4.430621e-11 1.572107e+01
4.977024e-11 1.628115e+01
5.590810e-11 1.585637e+01
6.280291e-11 1.563314e+01
7.054802e-11 1.717247e+01
7.924829e-11 1.671466e+01
8.902151e-11 1.811315e+01
1.000000e-10 1.747165e+01
