# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 1.562500e-01
1.123324e-15 1.562500e-01
1.261857e-15 2.417721e-01
1.417474e-15 3.222159e-01
1.592283e-15 3.094108e-01
1.788650e-15 2.939158e-01
2.009233e-15 2.673911e-01
2.257020e-15 7.071086e-01
2.535364e-15 7.609503e-01
2.848036e-15 5.559324e-01
3.199267e-15 8.488082e-01
3.593814e-15 7.016388e-01
4.037017e-15 8.869959e-01
4.534879e-15 9.555270e-01
5.094138e-15 9.953211e-01
5.722368e-15 8.200765e-01
6.428073e-15 1.092431e+00
7.220809e-15 1.124612e+00
8.111308e-15 1.172160e+00
9.111628e-15 1.267008e+00
1.023531e-14 1.244253e+00
1.149757e-14 1.221582e+00
1.291550e-14 1.211144e+00
1.450829e-14 1.469405e+00
1.629751e-14 1.681533e+00
1.830738e-14 1.595932e+00
2.056512e-14 1.543820e+00
2.310130e-14 1.599286e+00
2.595024e-14 1.610186e+00
2.915053e-14 1.595841e+00
3.274549e-14 1.760438e+00
3.678380e-14 1.869894e+00
4.132012e-14 1.713879e+00
4.641589e-14 2.087054e+00
5.214008e-14 2.063875e+00
5.857021e-14 2.194283e+00
6.579332e-14 2.059047e+00
7.390722e-14 2.158676e+00
8.302176e-14 2.319315e+00
9.326033e-14 2.506137e+00
1.047616e-13 2.414116e+00
1.176812e-13 2.332156e+00
1.321941e-13 2.544281e+00
1.484968e-13 2.621223e+00
1.668101e-13 2.670249e+00
1.873817e-13 2.538548e+00
2.104904e-13 2.645237e+00
2.364489e-13 3.222522e+00
2.656088e-13 2.769974e+00
2.983647e-13 2.723241e+00
3.351603e-13 3.064381e+00
3.764936e-13 3.090796e+00
4.229243e-13 3.234580e+00
4.750810e-13 3.259624e+00
5.336699e-13 3.025372e+00
5.994843e-13 3.427684e+00
6.734151e-13 3.320673e+00
7.564633e-13 3.001392e+00
8.497534e-13 3.666091e+00
9.545485e-13 3.430617e+00
1.072267e-12 3.498494e+00
1.204504e-12 4.026686e+00
1.353048e-12 3.654297e+00
1.519911e-12 3.733180e+00
1.707353e-12 3.998389e+00
1.917910e-12 3.958703e+00
2.154435e-12 4.202028e+00
2.420128e-12 4.202236e+00
2.718588e-12 4.353738e+00
3.053856e-12 4.255742e+00
3.430469e-12 4.671617e+00
3.853529e-12 4.764962e+00
4.328761e-12 4.645159e+00
4.862602e-12 4.864397e+00
5.462277e-12 4.904625e+00
6.135907e-12 5.437155e+00
6.892612e-12 5.870129e+00
7.742637e-12 5.658968e+00
8.697490e-12 5.747312e+00
9.770100e-12 6.171464e+00
1.097499e-11 6.140059e+00
1.232847e-11 6.218037e+00
1.384886e-11 6.570846e+00
1.555676e-11 6.728761e+00
1.747528e-11 6.386916e+00
1.963041e-11 7.299575e+00
2.205131e-11 7.517968e+00
2.477076e-11 7.474329e+00
2.782559e-11 7.823562e+00
3.125716e-11 8.295404e+00
3.511192e-11 8.715599e+00
3.944206e-11 8.918754e+00
4.430621e-11 9.370587e+00
4.977024e-11 9.710382e+00
5.590810e-11 1.004497e+01
6.280291e-11 1.016454e+01
7.054802e-11 1.065387e+01
7.924829e-11 1.081254e+01
8.902151e-11 1.193688e+01
1.000000e-10 1.260417e+01
