# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 1.081722e-01
1.123324e-15 1.093975e-01
1.261857e-15 1.193196e-01
1.417474e-15 1.562500e-01
1.592283e-15 1.562500e-01
1.788650e-15 1.562500e-01
2.009233e-15 2.068899e-01
2.257020e-15 1.566973e-01
2.535364e-15 1.562500e-01
2.848036e-15 3.901633e-01
3.199267e-15 2.475657e-01
3.593814e-15 4.194736e-01
4.037017e-15 6.192103e-01
4.534879e-15 5.275339e-01
5.094138e-15 8.960734e-01
5.722368e-15 1.120673e+00
6.428073e-15 9.758718e-01
7.220809e-15 1.122483e+00
8.111308e-15 1.197108e+00
9.111628e-15 1.465372e+00
1.023531e-14 1.692606e+00
1.149757e-14 1.896779e+00
1.291550e-14 1.685255e+00
1.450829e-14 1.883582e+00
1.629751e-14 1.833143e+00
1.830738e-14 2.039795e+00
2.056512e-14 2.307018e+00
2.310130e-14 2.254819e+00
2.595024e-14 2.413108e+00
2.915053e-14 2.570690e+00
3.274549e-14 2.830164e+00
3.678380e-14 2.938009e+00
4.132012e-14 3.093262e+00
4.641589e-14 3.102674e+00
5.214008e-14 3.105313e+00
5.857021e-14 3.341509e+00
6.579332e-14 3.658954e+00
7.390722e-14 3.687524e+00
8.302176e-14 3.818377e+00
9.326033e-14 3.751129e+00
1.047616e-13 4.419601e+00
1.176812e-13 4.078499e+00
1.321941e-13 4.344936e+00
1.484968e-13 4.465182e+00
1.668101e-13 4.801506e+00
1.873817e-13 4.850722e+00
2.104904e-13 5.102254e+00
2.364489e-13 4.707404e+00
2.656088e-13 5.318143e+00
2.983647e-13 4.888015e+00
3.351603e-13 5.475929e+00
3.764936e-13 5.419080e+00
4.229243e-13 5.723173e+00
4.750810e-13 5.713795e+00
5.336699e-13 5.808016e+00
5.994843e-13 6.091803e+00
6.734151e-13 6.744603e+00
7.564633e-13 6.096989e+00
8.497534e-13 6.519772e+00
9.545485e-13 6.447997e+00
1.072267e-12 7.422050e+00
1.204504e-12 6.271516e+00
1.353048e-12 6.897961e+00
1.519911e-12 7.161097e+00
1.707353e-12 7.746315e+00
1.917910e-12 7.404708e+00
2.154435e-12 7.595180e+00
2.420128e-12 8.051488e+00
2.718588e-12 7.443385e+00
3.053856e-12 7.732214e+00
3.430469e-12 8.514044e+00
3.853529e-12 8.689392e+00
4.328761e-12 8.869410e+00
4.862602e-12 8.426918e+00
5.462277e-12 8.659391e+00
6.135907e-12 8.238523e+00
6.892612e-12 9.342040e+00
7.742637e-12 9.325480e+00
8.697490e-12 9.602959e+00
9.770100e-12 9.426626e+00
1.097499e-11 1.044543e+01
1.232847e-11 9.993767e+00
1.384886e-11 1.021324e+01
1.555676e-11 1.059680e+01
1.747528e-11 1.039799e+01
1.963041e-11 1.071985e+01
2.205131e-11 1.083813e+01
2.477076e-11 1.171151e+01
2.782559e-11 1.209092e+01
3.125716e-11 1.172843e+01
3.511192e-11 1.241537e+01
3.944206e-11 1.239509e+01
4.430621e-11 1.294566e+01
4.977024e-11 1.276324e+01
5.590810e-11 1.347762e+01
6.280291e-11 1.427901e+01
7.054802e-11 1.418217e+01
7.924829e-11 1.518552e+01
8.902151e-11 1.544043e+01
1.000000e-10 1.481283e+01
