# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 1.562500e-01
1.123324e-15 1.562500e-01
1.261857e-15 1.562500e-01
1.417474e-15 1.562500e-01
1.592283e-15 1.562500e-01
1.788650e-15 1.562500e-01
2.009233e-15 1.562500e-01
2.257020e-15 1.562500e-01
2.535364e-15 1.562500e-01
2.848036e-15 1.562500e-01
3.199267e-15 1.562500e-01
3.593814e-15 1.562500e-01
4.037017e-15 1.562500e-01
4.534879e-15 1.574490e-01
5.094138e-15 1.727753e-01
5.722368e-15 1.717117e-01
6.428073e-15 1.826450e-01
7.220809e-15 2.034610e-01
8.111308e-15 2.127984e-01
9.111628e-15 2.287929e-01
1.023531e-14 2.434278e-01
1.149757e-14 2.528808e-01
1.291550e-14 2.745211e-01
1.450829e-14 2.967577e-01
1.629751e-14 3.038120e-01
1.830738e-14 3.519570e-01
2.056512e-14 4.417209e-01
2.310130e-14 8.118591e-01
2.595024e-14 1.795674e+00
2.915053e-14 2.645222e+00
3.274549e-14 3.378783e+00
3.678380e-14 3.872988e+00
4.132012e-14 4.256571e+00
4.641589e-14 4.678824e+00
5.214008e-14 5.014781e+00
5.857021e-14 5.469333e+00
6.579332e-14 5.917143e+00
7.390722e-14 6.458657e+00
8.302176e-14 6.987351e+00
9.326033e-14 7.604699e+00
1.047616e-13 8.379101e+00
1.176812e-13 8.999029e+00
1.321941e-13 9.983799e+00
1.484968e-13 1.085002e+01
1.668101e-13 1.176678e+01
1.873817e-13 1.314531e+01
2.104904e-13 1.449279e+01
2.364489e-13 1.583169e+01
2.656088e-13 1.744069e+01
2.983647e-13 1.963744e+01
3.351603e-13 2.150016e+01
3.764936e-13 2.402543e+01
4.229243e-13 2.658539e+01
4.750810e-13 2.909305e+01
5.336699e-13 3.187890e+01
5.994843e-13 3.569235e+01
6.734151e-13 4.004066e+01
7.564633e-13 4.432689e+01
8.497534e-13 4.932799e+01
9.545485e-13 5.485847e+01
1.072267e-12 6.059783e+01
1.204504e-12 6.682610e+01
1.353048e-12 7.523775e+01
1.519911e-12 8.454580e+01
1.707353e-12 9.472851e+01
1.917910e-12 1.062526e+02
2.154435e-12 1.165997e+02
2.420128e-12 1.325247e+02
2.718588e-12 1.455972e+02
3.053856e-12 1.654593e+02
3.430469e-12 1.816967e+02
3.853529e-12 2.022603e+02
4.328761e-12 2.330587e+02
4.862602e-12 2.547801e+02
5.462277e-12 2.881850e+02
6.135907e-12 3.196343e+02
6.892612e-12 3.583873e+02
7.742637e-12 4.060009e+02
8.697490e-12 4.439431e+02
9.770100e-12 5.056967e+02
1.097499e-11 5.788464e+02
1.232847e-11 6.394484e+02
1.384886e-11 7.175404e+02
1.555676e-11 7.902411e+02
1.747528e-11 9.047974e+02
1.963041e-11 1.001382e+03
2.205131e-11 1.138618e+03
2.477076e-11 1.279517e+03
2.782559e-11 1.422576e+03
3.125716e-11 1.632679e+03
3.511192e-11 1.803813e+03
3.944206e-11 2.035683e+03
4.430621e-11 2.203866e+03
4.977024e-11 2.572584e+03
5.590810e-11 2.893104e+03
6.280291e-11 3.171881e+03
7.054802e-11 3.621123e+03
7.924829e-11 4.022795e+03
8.902151e-11 4.636508e+03
1.000000e-10 5.043824e+03
