# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 1.562500e-01
1.123324e-15 1.627854e-01
1.261857e-15 1.562500e-01
1.417474e-15 1.572125e-01
1.592283e-15 1.590305e-01
1.788650e-15 1.562500e-01
2.009233e-15 2.003912e-01
2.257020e-15 2.997978e-01
2.535364e-15 4.604442e-01
2.848036e-15 6.036667e-01
3.199267e-15 6.536898e-01
3.593814e-15 8.797462e-01
4.037017e-15 7.777172e-01
4.534879e-15 9.743404e-01
5.094138e-15 8.922342e-01
5.722368e-15 1.038651e+00
6.428073e-15 1.111597e+00
7.220809e-15 1.177001e+00
8.111308e-15 1.232316e+00
9.111628e-15 1.360822e+00
1.023531e-14 1.135518e+00
1.149757e-14 1.318445e+00
1.291550e-14 1.598098e+00
1.450829e-14 1.497196e+00
1.629751e-14 1.546767e+00
1.830738e-14 1.835021e+00
2.056512e-14 1.859704e+00
2.310130e-14 1.791796e+00
2.595024e-14 1.947930e+00
2.915053e-14 2.195090e+00
3.274549e-14 2.242547e+00
3.678380e-14 2.234894e+00
4.132012e-14 2.180213e+00
4.641589e-14 2.759849e+00
5.214008e-14 2.457810e+00
5.857021e-14 2.777026e+00
6.579332e-14 2.818366e+00
7.390722e-14 2.555770e+00
8.302176e-14 2.883859e+00
9.326033e-14 2.799307e+00
1.047616e-13 3.098127e+00
1.176812e-13 2.994072e+00
1.321941e-13 2.927755e+00
1.484968e-13 3.097891e+00
1.668101e-13 3.374445e+00
1.873817e-13 3.536669e+00
2.104904e-13 3.655116e+00
2.364489e-13 3.252563e+00
2.656088e-13 3.561265e+00
2.983647e-13 3.524221e+00
3.351603e-13 3.661953e+00
3.764936e-13 3.957872e+00
4.229243e-13 3.889500e+00
4.750810e-13 3.667079e+00
5.336699e-13 4.081590e+00
5.994843e-13 3.856204e+00
6.734151e-13 4.445887e+00
7.564633e-13 4.229351e+00
8.497534e-13 4.356481e+00
9.545485e-13 4.485694e+00
1.072267e-12 4.771837e+00
1.204504e-12 4.852136e+00
1.353048e-12 4.941568e+00
1.519911e-12 4.773021e+00
1.707353e-12 5.063981e+00
1.917910e-12 5.311763e+00
2.154435e-12 5.212470e+00
2.420128e-12 5.386053e+00
2.718588e-12 5.603322e+00
3.053856e-12 5.380114e+00
3.430469e-12 5.824734e+00
3.853529e-12 5.858052e+00
4.328761e-12 5.891165e+00
4.862602e-12 5.971788e+00
5.462277e-12 6.183422e+00
6.135907e-12 5.981573e+00
6.892612e-12 6.865814e+00
7.742637e-12 6.282175e+00
8.697490e-12 6.659888e+00
9.770100e-12 7.012383e+00
1.097499e-11 6.899043e+00
1.232847e-11 7.161155e+00
1.384886e-11 7.521165e+00
1.555676e-11 7.620715e+00
1.747528e-11 7.869139e+00
1.963041e-11 8.310592e+00
2.205131e-11 9.021952e+00
2.477076e-11 8.174879e+00
2.782559e-11 8.525213e+00
3.125716e-11 9.081974e+00
3.511192e-11 9.862839e+00
3.944206e-11 9.397029e+00
4.430621e-11 1.020486e+01
4.977024e-11 1.064275e+01
5.590810e-11 1.050357e+01
6.280291e-11 1.121109e+01
7.054802e-11 1.100440e+01
7.924829e-11 1.140228e+01
8.902151e-11 1.280811e+01
1.000000e-10 1.346981e+01
