# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 4.689928e-01
1.123324e-15 6.979592e-01
1.261857e-15 5.294051e-01
1.417474e-15 4.368157e-01
1.592283e-15 4.289550e-01
1.788650e-15 2.927519e-01
2.009233e-15 3.993254e-01
2.257020e-15 5.707224e-01
2.535364e-15 7.686756e-01
2.848036e-15 7.003176e-01
3.199267e-15 6.172284e-01
3.593814e-15 9.975158e-01
4.037017e-15 7.824123e-01
4.534879e-15 6.226416e-01
5.094138e-15 7.413939e-01
5.722368e-15 1.128653e+00
6.428073e-15 1.166550e+00
7.220809e-15 1.051062e+00
8.111308e-15 8.439967e-01
9.111628e-15 1.080382e+00
1.023531e-14 1.370734e+00
1.149757e-14 1.398929e+00
1.291550e-14 1.217513e+00
1.450829e-14 1.365277e+00
1.629751e-14 1.239197e+00
1.830738e-14 1.172392e+00
2.056512e-14 1.551370e+00
2.310130e-14 1.383858e+00
2.595024e-14 1.422344e+00
2.915053e-14 1.449973e+00
3.274549e-14 1.569858e+00
3.678380e-14 1.817158e+00
4.132012e-14 1.820685e+00
4.641589e-14 1.991134e+00
5.214008e-14 1.785269e+00
5.857021e-14 1.817439e+00
6.579332e-14 1.647499e+00
7.390722e-14 1.814643e+00
8.302176e-14 2.105443e+00
9.326033e-14 2.058896e+00
1.047616e-13 1.782916e+00
1.176812e-13 2.003521e+00
1.321941e-13 1.978644e+00
1.484968e-13 2.112189e+00
1.668101e-13 1.892188e+00
1.873817e-13 2.356355e+00
2.104904e-13 2.141362e+00
2.364489e-13 2.320211e+00
2.656088e-13 2.316953e+00
2.983647e-13 2.457177e+00
3.351603e-13 2.253301e+00
3.764936e-13 2.381416e+00
4.229243e-13 2.493697e+00
4.750810e-13 2.392750e+00
5.336699e-13 2.804130e+00
5.994843e-13 2.609526e+00
6.734151e-13 2.841184e+00
7.564633e-13 2.507852e+00
8.497534e-13 2.668426e+00
9.545485e-13 2.880570e+00
1.072267e-12 2.806451e+00
1.204504e-12 2.930696e+00
1.353048e-12 3.166647e+00
1.519911e-12 3.104417e+00
1.707353e-12 3.235800e+00
1.917910e-12 3.427394e+00
2.154435e-12 3.422031e+00
2.420128e-12 3.790358e+00
2.718588e-12 3.707373e+00
3.053856e-12 3.645118e+00
3.430469e-12 4.107525e+00
3.853529e-12 4.109950e+00
4.328761e-12 4.168622e+00
4.862602e-12 4.334392e+00
5.462277e-12 4.735209e+00
6.135907e-12 4.575442e+00
6.892612e-12 4.745968e+00
7.742637e-12 5.021931e+00
8.697490e-12 5.555367e+00
9.770100e-12 5.279172e+00
1.097499e-11 5.564345e+00
1.232847e-11 5.960172e+00
1.384886e-11 6.006552e+00
1.555676e-11 6.475155e+00
1.747528e-11 6.951722e+00
1.963041e-11 6.936811e+00
2.205131e-11 7.524953e+00
2.477076e-11 7.647628e+00
2.782559e-11 8.139259e+00
3.125716e-11 8.139032e+00
3.511192e-11 8.394585e+00
3.944206e-11 8.932492e+00
4.430621e-11 9.624497e+00
4.977024e-11 1.001877e+01
5.590810e-11 1.073244e+01
6.280291e-11 1.073118e+01
7.054802e-11 1.178175e+01
7.924829e-11 1.229526e+01
8.902151e-11 1.222211e+01
1.000000e-10 1.282027e+01
