# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 1.562500e-01
1.123324e-15 1.562500e-01
1.261857e-15 1.247290e-01
1.417474e-15 1.562500e-01
1.592283e-15 1.562500e-01
1.788650e-15 1.562500e-01
2.009233e-15 1.695099e-01
2.257020e-15 2.083562e-01
2.535364e-15 3.584894e-01
2.848036e-15 2.311188e-01
3.199267e-15 4.326175e-01
3.593814e-15 5.214213e-01
4.037017e-15 4.829722e-01
4.534879e-15 8.388223e-01
5.094138e-15 7.635645e-01
5.722368e-15 9.943574e-01
6.428073e-15 1.181128e+00
7.220809e-15 1.241227e+00
8.111308e-15 1.367937e+00
9.111628e-15 1.534876e+00
1.023531e-14 1.525862e+00
1.149757e-14 1.537980e+00
1.291550e-14 1.750747e+00
1.450829e-14 1.684892e+00
1.629751e-14 1.856701e+00
1.830738e-14 2.317379e+00
2.056512e-14 2.084537e+00
2.310130e-14 2.205008e+00
2.595024e-14 2.429469e+00
2.915053e-14 2.277664e+00
3.274549e-14 2.516415e+00
3.678380e-14 2.826736e+00
4.132012e-14 2.921000e+00
4.641589e-14 3.201209e+00
5.214008e-14 3.206810e+00
5.857021e-14 3.131111e+00
6.579332e-14 3.673833e+00
7.390722e-14 3.451221e+00
8.302176e-14 3.569676e+00
9.326033e-14 3.577780e+00
1.047616e-13 3.741539e+00
1.176812e-13 3.812723e+00
1.321941e-13 3.957932e+00
1.484968e-13 4.148100e+00
1.668101e-13 4.508919e+00
1.873817e-13 4.174379e+00
2.104904e-13 4.326343e+00
2.364489e-13 4.129295e+00
2.656088e-13 4.846888e+00
2.983647e-13 4.936907e+00
3.351603e-13 4.637187e+00
3.764936e-13 4.894513e+00
4.229243e-13 5.131724e+00
4.750810e-13 5.246463e+00
5.336699e-13 5.392768e+00
5.994843e-13 5.292275e+00
6.734151e-13 5.477125e+00
7.564633e-13 5.871605e+00
8.497534e-13 5.863828e+00
9.545485e-13 6.498547e+00
1.072267e-12 5.675415e+00
1.204504e-12 6.316540e+00
1.353048e-12 6.509065e+00
1.519911e-12 6.720811e+00
1.707353e-12 6.852416e+00
1.917910e-12 6.415762e+00
2.154435e-12 7.064459e+00
2.420128e-12 6.994364e+00
2.718588e-12 6.918614e+00
3.053856e-12 7.140494e+00
3.430469e-12 7.344502e+00
3.853529e-12 7.844058e+00
4.328761e-12 7.884727e+00
4.862602e-12 7.802139e+00
5.462277e-12 8.491636e+00
6.135907e-12 8.413694e+00
6.892612e-12 8.519558e+00
7.742637e-12 8.925490e+00
8.697490e-12 8.886673e+00
9.770100e-12 8.967492e+00
1.097499e-11 9.173798e+00
1.232847e-11 9.481936e+00
1.384886e-11 9.585724e+00
1.555676e-11 9.409135e+00
1.747528e-11 9.971311e+00
1.963041e-11 9.953218e+00
2.205131e-11 1.074306e+01
2.477076e-11 1.039423e+01
2.782559e-11 1.091862e+01
3.125716e-11 1.106762e+01
3.511192e-11 1.126037e+01
3.944206e-11 1.167398e+01
4.430621e-11 1.170931e+01
4.977024e-11 1.213400e+01
5.590810e-11 1.304496e+01
6.280291e-11 1.305887e+01
7.054802e-11 1.355537e+01
7.924829e-11 1.365584e+01
8.902151e-11 1.433813e+01
1.000000e-10 1.471086e+01
