# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 1.562500e-01
1.123324e-15 1.562500e-01
1.261857e-15 1.562500e-01
1.417474e-15 1.562500e-01
1.592283e-15 1.562500e-01
1.788650e-15 1.562500e-01
2.009233e-15 1.562500e-01
2.257020e-15 1.562500e-01
2.535364e-15 1.562500e-01
2.848036e-15 1.562500e-01
3.199267e-15 1.562500e-01
3.593814e-15 1.562500e-01
4.037017e-15 1.562500e-01
4.534879e-15 1.602693e-01
5.094138e-15 1.641424e-01
5.722368e-15 1.722131e-01
6.428073e-15 1.884601e-01
7.220809e-15 1.989768e-01
8.111308e-15 2.120220e-01
9.111628e-15 2.225374e-01
1.023531e-14 2.400817e-01
1.149757e-14 2.532900e-01
1.291550e-14 2.650830e-01
1.450829e-14 2.787751e-01
1.629751e-14 3.064982e-01
1.830738e-14 3.404400e-01
2.056512e-14 4.801267e-01
2.310130e-14 8.716210e-01
2.595024e-14 1.636214e+00
2.915053e-14 2.632596e+00
3.274549e-14 3.283120e+00
3.678380e-14 3.835845e+00
4.132012e-14 4.184249e+00
4.641589e-14 4.563014e+00
5.214008e-14 4.954774e+00
5.857021e-14 5.433509e+00
6.579332e-14 5.850895e+00
7.390722e-14 6.296757e+00
8.302176e-14 7.071643e+00
9.326033e-14 7.663624e+00
1.047616e-13 8.241547e+00
1.176812e-13 9.116376e+00
1.321941e-13 1.006662e+01
1.484968e-13 1.123666e+01
1.668101e-13 1.184377e+01
1.873817e-13 1.298450e+01
2.104904e-13 1.436424e+01
2.364489e-13 1.617464e+01
2.656088e-13 1.761198e+01
2.983647e-13 1.909520e+01
3.351603e-13 2.154973e+01
3.764936e-13 2.365294e+01
4.229243e-13 2.649109e+01
4.750810e-13 2.926671e+01
5.336699e-13 3.239895e+01
5.994843e-13 3.600316e+01
6.734151e-13 4.017669e+01
7.564633e-13 4.452577e+01
8.497534e-13 4.887175e+01
9.545485e-13 5.432200e+01
1.072267e-12 6.164029e+01
1.204504e-12 6.774514e+01
1.353048e-12 7.592923e+01
1.519911e-12 8.525300e+01
1.707353e-12 9.512142e+01
1.917910e-12 1.052391e+02
2.154435e-12 1.171090e+02
2.420128e-12 1.307915e+02
2.718588e-12 1.491412e+02
3.053856e-12 1.621283e+02
3.430469e-12 1.798431e+02
3.853529e-12 2.066984e+02
4.328761e-12 2.288331e+02
4.862602e-12 2.529852e+02
5.462277e-12 2.878090e+02
6.135907e-12 3.220169e+02
6.892612e-12 3.610737e+02
7.742637e-12 4.050744e+02
8.697490e-12 4.521377e+02
9.770100e-12 5.083257e+02
1.097499e-11 5.834375e+02
1.232847e-11 6.392525e+02
1.384886e-11 7.204168e+02
1.555676e-11 8.065955e+02
1.747528e-11 9.091565e+02
1.963041e-11 1.028049e+03
2.205131e-11 1.138510e+03
2.477076e-11 1.292173e+03
2.782559e-11 1.461546e+03
3.125716e-11 1.616167e+03
3.511192e-11 1.809256e+03
3.944206e-11 2.024722e+03
4.430621e-11 2.280602e+03
4.977024e-11 2.627454e+03
5.590810e-11 2.885947e+03
6.280291e-11 3.241707e+03
7.054802e-11 3.648210e+03
7.924829e-11 4.126546e+03
8.902151e-11 4.600896e+03
1.000000e-10 5.210616e+03
