# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 nan
1.123324e-15 nan
1.261857e-15 1.374551e-01
1.417474e-15 nan
1.592283e-15 nan
1.788650e-15 1.536302e-01
2.009233e-15 nan
2.257020e-15 2.194283e-01
2.535364e-15 2.871253e-01
2.848036e-15 1.380044e-01
3.199267e-15 1.983775e-01
3.593814e-15 1.497955e-01
4.037017e-15 1.758107e-01
4.534879e-15 1.481318e-01
5.094138e-15 1.432099e-01
5.722368e-15 1.744887e-01
6.428073e-15 2.088444e-01
7.220809e-15 2.957175e-01
8.111308e-15 2.088247e-01
9.111628e-15 3.302705e-01
1.023531e-14 3.298874e-01
1.149757e-14 2.921386e-01
1.291550e-14 3.275359e-01
1.450829e-14 3.409834e-01
1.629751e-14 3.548664e-01
1.830738e-14 3.064375e-01
2.056512e-14 3.694352e-01
2.310130e-14 3.708113e-01
2.595024e-14 3.841108e-01
2.915053e-14 3.955775e-01
3.274549e-14 4.162777e-01
3.678380e-14 3.742847e-01
4.132012e-14 5.087480e-01
4.641589e-14 5.091432e-01
5.214008e-14 5.397310e-01
5.857021e-14 5.608278e-01
6.579332e-14 6.885363e-01
7.390722e-14 7.416399e-01
8.302176e-14 5.737185e-01
9.326033e-14 7.060621e-01
1.047616e-13 6.134755e-01
1.176812e-13 7.526559e-01
1.321941e-13 7.413747e-01
1.484968e-13 7.339913e-01
1.668101e-13 7.795649e-01
1.873817e-13 9.048036e-01
2.104904e-13 1.092686e+00
2.364489e-13 1.061240e+00
2.656088e-13 1.092102e+00
2.983647e-13 9.971420e-01
3.351603e-13 1.084991e+00
3.764936e-13 1.251705e+00
4.229243e-13 1.261287e+00
4.750810e-13 1.291876e+00
5.336699e-13 1.203172e+00
5.994843e-13 1.339334e+00
6.734151e-13 1.396157e+00
7.564633e-13 1.480657e+00
8.497534e-13 1.490764e+00
9.545485e-13 1.687377e+00
1.072267e-12 1.571158e+00
1.204504e-12 1.685995e+00
1.353048e-12 1.616505e+00
1.519911e-12 1.794811e+00
1.707353e-12 1.744772e+00
1.917910e-12 1.920508e+00
2.154435e-12 1.921314e+00
2.420128e-12 2.088813e+00
2.718588e-12 2.059941e+00
3.053856e-12 2.080548e+00
3.430469e-12 2.023337e+00
3.853529e-12 2.189551e+00
4.328761e-12 2.356653e+00
4.862602e-12 2.122992e+00
5.462277e-12 2.374293e+00
6.135907e-12 2.359914e+00
6.892612e-12 2.395606e+00
7.742637e-12 2.510032e+00
8.697490e-12 2.574581e+00
9.770100e-12 2.696906e+00
1.097499e-11 2.761512e+00
1.232847e-11 2.979311e+00
1.384886e-11 2.922234e+00
1.555676e-11 3.055713e+00
1.747528e-11 3.081242e+00
1.963041e-11 3.249184e+00
2.205131e-11 3.192137e+00
2.477076e-11 3.367869e+00
2.782559e-11 3.620102e+00
3.125716e-11 3.795321e+00
3.511192e-11 3.861239e+00
3.944206e-11 3.850638e+00
4.430621e-11 3.877569e+00
4.977024e-11 4.180437e+00
5.590810e-11 4.368864e+00
6.280291e-11 4.697289e+00
7.054802e-11 4.677873e+00
7.924829e-11 5.116149e+00
8.902151e-11 4.877407e+00
1.000000e-10 5.219298e+00
