# x[h^-1_cMpc]  F_mean
0.000000e+00 2.262523e-01
1.562500e-01 1.866596e-01
3.125000e-01 1.608661e-01
4.687500e-01 1.407667e-01
6.250000e-01 1.269979e-01
7.812500e-01 1.131659e-01
9.375000e-01 1.008788e-01
1.093750e+00 9.076957e-02
1.250000e+00 8.197446e-02
1.406250e+00 7.494064e-02
1.562500e+00 6.853643e-02
1.718750e+00 6.331275e-02
1.875000e+00 5.849114e-02
2.031250e+00 5.319782e-02
2.187500e+00 4.950305e-02
2.343750e+00 4.640711e-02
2.500000e+00 4.322051e-02
2.656250e+00 4.018990e-02
2.812500e+00 3.755165e-02
2.968750e+00 3.469503e-02
3.125000e+00 3.259609e-02
3.281250e+00 3.019467e-02
3.437500e+00 2.789708e-02
3.593750e+00 2.537977e-02
3.750000e+00 2.283011e-02
3.906250e+00 2.141190e-02
4.062500e+00 2.004913e-02
4.218750e+00 1.883009e-02
4.375000e+00 1.771798e-02
4.531250e+00 1.663593e-02
4.687500e+00 1.568335e-02
4.843750e+00 1.479186e-02
5.000000e+00 1.361696e-02
5.156250e+00 1.267265e-02
5.312500e+00 1.184943e-02
5.468750e+00 1.101662e-02
5.625000e+00 1.007052e-02
5.781250e+00 9.292653e-03
5.937500e+00 8.672638e-03
6.093750e+00 8.169985e-03
6.250000e+00 7.725898e-03
6.406250e+00 7.137755e-03
6.562500e+00 6.639751e-03
6.718750e+00 6.158987e-03
6.875000e+00 5.616617e-03
7.031250e+00 5.366868e-03
7.187500e+00 4.976537e-03
7.343750e+00 4.695697e-03
7.500000e+00 4.421252e-03
7.656250e+00 4.188587e-03
7.812500e+00 4.056069e-03
7.968750e+00 3.871281e-03
8.125000e+00 3.677839e-03
8.281250e+00 3.487691e-03
8.437500e+00 3.290564e-03
8.593750e+00 3.032729e-03
8.750000e+00 2.858678e-03
8.906250e+00 2.657642e-03
9.062500e+00 2.435831e-03
9.218750e+00 2.224529e-03
9.375000e+00 2.047060e-03
9.531250e+00 1.914884e-03
9.687500e+00 1.779599e-03
9.843750e+00 1.569348e-03
1.000000e+01 1.428955e-03
1.015625e+01 1.248355e-03
1.031250e+01 1.151733e-03
1.046875e+01 1.068174e-03
1.062500e+01 9.704754e-04
1.078125e+01 9.115968e-04
1.093750e+01 8.584853e-04
1.109375e+01 8.164868e-04
1.125000e+01 7.755825e-04
1.140625e+01 7.281881e-04
1.156250e+01 6.767159e-04
1.171875e+01 6.369178e-04
1.187500e+01 5.991476e-04
1.203125e+01 5.253615e-04
1.218750e+01 4.752129e-04
1.234375e+01 4.390650e-04
1.250000e+01 3.994882e-04
1.265625e+01 3.639092e-04
1.281250e+01 3.151964e-04
1.296875e+01 2.915244e-04
1.312500e+01 2.679965e-04
1.328125e+01 2.414572e-04
1.343750e+01 2.094505e-04
1.359375e+01 1.936342e-04
1.375000e+01 1.858582e-04
1.390625e+01 1.769575e-04
1.406250e+01 1.726705e-04
1.421875e+01 1.629177e-04
1.437500e+01 1.548606e-04
1.453125e+01 1.465531e-04
1.468750e+01 1.302422e-04
1.484375e+01 1.062977e-04
1.500000e+01 9.985749e-05
1.515625e+01 9.477943e-05
1.531250e+01 8.926277e-05
1.546875e+01 8.478846e-05
1.562500e+01 7.834815e-05
1.578125e+01 7.404602e-05
1.593750e+01 7.117862e-05
1.609375e+01 6.911946e-05
1.625000e+01 6.702590e-05
1.640625e+01 6.411821e-05
1.656250e+01 6.178272e-05
1.671875e+01 5.993468e-05
1.687500e+01 5.867274e-05
1.703125e+01 5.623269e-05
1.718750e+01 5.213365e-05
1.734375e+01 4.515868e-05
1.750000e+01 4.187328e-05
1.765625e+01 3.909712e-05
1.781250e+01 3.808234e-05
1.796875e+01 3.713551e-05
1.812500e+01 3.529042e-05
1.828125e+01 3.242193e-05
1.843750e+01 2.993514e-05
1.859375e+01 2.800417e-05
1.875000e+01 2.660373e-05
1.890625e+01 2.546547e-05
1.906250e+01 2.466461e-05
1.921875e+01 2.160926e-05
1.937500e+01 1.718877e-05
1.953125e+01 1.540318e-05
1.968750e+01 1.485880e-05
1.984375e+01 1.430719e-05
2.000000e+01 1.350377e-05
2.015625e+01 1.313446e-05
2.031250e+01 1.259532e-05
2.046875e+01 1.152840e-05
2.062500e+01 1.091281e-05
2.078125e+01 1.048967e-05
2.093750e+01 8.435760e-06
2.109375e+01 6.509621e-06
2.125000e+01 6.342075e-06
2.140625e+01 6.121916e-06
2.156250e+01 4.243648e-06
2.171875e+01 3.851197e-06
2.187500e+01 3.766447e-06
2.203125e+01 3.654978e-06
2.218750e+01 3.360575e-06
2.234375e+01 3.276549e-06
2.250000e+01 3.224608e-06
2.265625e+01 3.148886e-06
2.281250e+01 2.912030e-06
2.296875e+01 2.834868e-06
2.312500e+01 2.774413e-06
2.328125e+01 2.654830e-06
2.343750e+01 2.033609e-06
2.359375e+01 1.906340e-06
2.375000e+01 1.885717e-06
2.390625e+01 1.866194e-06
2.406250e+01 1.823834e-06
2.421875e+01 1.629028e-06
2.437500e+01 1.572933e-06
2.453125e+01 1.539854e-06
2.468750e+01 1.500936e-06
2.484375e+01 1.474750e-06
2.500000e+01 1.439751e-06
2.515625e+01 1.070198e-06
2.531250e+01 5.424644e-07
2.546875e+01 4.871535e-07
2.562500e+01 3.662493e-07
2.578125e+01 3.344914e-07
2.593750e+01 3.049959e-07
2.609375e+01 2.859909e-07
2.625000e+01 2.796818e-07
2.640625e+01 2.737944e-07
2.656250e+01 2.539798e-07
2.671875e+01 2.182195e-07
2.687500e+01 1.756368e-07
2.703125e+01 1.661142e-07
2.718750e+01 1.566430e-07
2.734375e+01 1.154695e-07
