# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 nan
1.123324e-15 nan
1.261857e-15 nan
1.417474e-15 nan
1.592283e-15 1.166070e-01
1.788650e-15 9.179005e-02
2.009233e-15 1.435809e-01
2.257020e-15 1.055524e-01
2.535364e-15 nan
2.848036e-15 nan
3.199267e-15 1.714712e-01
3.593814e-15 2.718161e-01
4.037017e-15 1.943107e-01
4.534879e-15 1.799525e-01
5.094138e-15 1.558396e-01
5.722368e-15 1.687700e-01
6.428073e-15 1.548329e-01
7.220809e-15 2.784840e-01
8.111308e-15 2.516390e-01
9.111628e-15 3.080649e-01
1.023531e-14 2.362764e-01
1.149757e-14 2.226581e-01
1.291550e-14 2.676349e-01
1.450829e-14 2.984534e-01
1.629751e-14 2.359623e-01
1.830738e-14 3.785601e-01
2.056512e-14 3.183499e-01
2.310130e-14 3.630752e-01
2.595024e-14 3.653047e-01
2.915053e-14 3.659880e-01
3.274549e-14 3.993552e-01
3.678380e-14 4.330159e-01
4.132012e-14 3.785220e-01
4.641589e-14 4.642467e-01
5.214008e-14 5.426941e-01
5.857021e-14 4.621449e-01
6.579332e-14 6.245101e-01
7.390722e-14 6.283114e-01
8.302176e-14 7.069470e-01
9.326033e-14 7.112369e-01
1.047616e-13 7.010043e-01
1.176812e-13 9.090475e-01
1.321941e-13 7.631491e-01
1.484968e-13 8.380116e-01
1.668101e-13 9.047531e-01
1.873817e-13 9.674915e-01
2.104904e-13 9.431155e-01
2.364489e-13 9.695781e-01
2.656088e-13 1.090339e+00
2.983647e-13 1.077080e+00
3.351603e-13 1.193945e+00
3.764936e-13 1.325555e+00
4.229243e-13 1.374415e+00
4.750810e-13 1.370458e+00
5.336699e-13 1.398310e+00
5.994843e-13 1.532238e+00
6.734151e-13 1.445065e+00
7.564633e-13 1.508558e+00
8.497534e-13 1.384463e+00
9.545485e-13 1.446890e+00
1.072267e-12 1.602873e+00
1.204504e-12 1.872167e+00
1.353048e-12 1.819400e+00
1.519911e-12 1.767772e+00
1.707353e-12 2.068689e+00
1.917910e-12 2.072941e+00
2.154435e-12 1.925852e+00
2.420128e-12 1.933250e+00
2.718588e-12 2.109443e+00
3.053856e-12 2.074826e+00
3.430469e-12 2.184070e+00
3.853529e-12 2.206228e+00
4.328761e-12 2.477903e+00
4.862602e-12 2.475518e+00
5.462277e-12 2.382889e+00
6.135907e-12 2.678840e+00
6.892612e-12 2.603818e+00
7.742637e-12 2.684733e+00
8.697490e-12 2.777778e+00
9.770100e-12 2.869743e+00
1.097499e-11 2.643709e+00
1.232847e-11 2.988051e+00
1.384886e-11 3.183245e+00
1.555676e-11 3.266659e+00
1.747528e-11 3.052787e+00
1.963041e-11 3.162260e+00
2.205131e-11 3.498416e+00
2.477076e-11 3.630580e+00
2.782559e-11 3.693884e+00
3.125716e-11 3.671094e+00
3.511192e-11 3.810628e+00
3.944206e-11 4.123850e+00
4.430621e-11 4.223538e+00
4.977024e-11 4.169820e+00
5.590810e-11 4.425733e+00
6.280291e-11 4.597459e+00
7.054802e-11 4.441126e+00
7.924829e-11 4.910869e+00
8.902151e-11 5.138380e+00
1.000000e-10 5.510320e+00
