# x[h^-1_cMpc]  F_mean
0.000000e+00 8.863393e-01
1.562500e-01 8.040579e-01
3.125000e-01 7.298063e-01
4.687500e-01 6.664745e-01
6.250000e-01 6.086375e-01
7.812500e-01 5.586051e-01
9.375000e-01 5.153866e-01
1.093750e+00 4.747457e-01
1.250000e+00 4.368494e-01
1.406250e+00 4.005432e-01
1.562500e+00 3.675409e-01
1.718750e+00 3.364309e-01
1.875000e+00 3.087490e-01
2.031250e+00 2.833476e-01
2.187500e+00 2.611434e-01
2.343750e+00 2.401780e-01
2.500000e+00 2.199450e-01
2.656250e+00 2.025804e-01
2.812500e+00 1.880382e-01
2.968750e+00 1.738400e-01
3.125000e+00 1.623774e-01
3.281250e+00 1.513588e-01
3.437500e+00 1.408167e-01
3.593750e+00 1.305914e-01
3.750000e+00 1.199377e-01
3.906250e+00 1.104074e-01
4.062500e+00 1.021792e-01
4.218750e+00 9.440500e-02
4.375000e+00 8.795030e-02
4.531250e+00 8.148536e-02
4.687500e+00 7.579044e-02
4.843750e+00 6.986910e-02
5.000000e+00 6.457920e-02
5.156250e+00 5.984665e-02
5.312500e+00 5.534895e-02
5.468750e+00 5.095301e-02
5.625000e+00 4.757149e-02
5.781250e+00 4.452399e-02
5.937500e+00 4.091684e-02
6.093750e+00 3.812339e-02
6.250000e+00 3.548202e-02
6.406250e+00 3.305111e-02
6.562500e+00 3.078315e-02
6.718750e+00 2.890904e-02
6.875000e+00 2.706722e-02
7.031250e+00 2.540601e-02
7.187500e+00 2.384975e-02
7.343750e+00 2.196838e-02
7.500000e+00 2.041830e-02
7.656250e+00 1.890281e-02
7.812500e+00 1.756971e-02
7.968750e+00 1.639987e-02
8.125000e+00 1.520757e-02
8.281250e+00 1.420916e-02
8.437500e+00 1.330352e-02
8.593750e+00 1.253003e-02
8.750000e+00 1.159402e-02
8.906250e+00 1.061157e-02
9.062500e+00 9.812118e-03
9.218750e+00 9.157975e-03
9.375000e+00 8.610119e-03
9.531250e+00 8.084418e-03
9.687500e+00 7.514352e-03
9.843750e+00 6.978300e-03
1.000000e+01 6.471300e-03
1.015625e+01 6.049117e-03
1.031250e+01 5.562270e-03
1.046875e+01 5.140818e-03
1.062500e+01 4.809376e-03
1.078125e+01 4.497023e-03
1.093750e+01 4.170368e-03
1.109375e+01 3.765626e-03
1.125000e+01 3.454297e-03
1.140625e+01 3.074641e-03
1.156250e+01 2.786478e-03
1.171875e+01 2.605189e-03
1.187500e+01 2.414922e-03
1.203125e+01 2.256487e-03
1.218750e+01 2.028048e-03
1.234375e+01 1.863942e-03
1.250000e+01 1.715859e-03
1.265625e+01 1.591597e-03
1.281250e+01 1.486645e-03
1.296875e+01 1.398069e-03
1.312500e+01 1.265999e-03
1.328125e+01 1.151710e-03
1.343750e+01 1.052857e-03
1.359375e+01 9.537527e-04
1.375000e+01 8.725504e-04
1.390625e+01 8.136368e-04
1.406250e+01 7.575393e-04
1.421875e+01 6.810071e-04
1.437500e+01 6.216448e-04
1.453125e+01 5.803638e-04
1.468750e+01 5.392884e-04
1.484375e+01 5.017655e-04
1.500000e+01 4.347893e-04
1.515625e+01 4.069286e-04
1.531250e+01 3.845696e-04
1.546875e+01 3.613812e-04
1.562500e+01 3.454382e-04
1.578125e+01 3.304419e-04
1.593750e+01 3.122319e-04
1.609375e+01 2.938526e-04
1.625000e+01 2.788283e-04
1.640625e+01 2.591952e-04
1.656250e+01 2.451046e-04
1.671875e+01 2.277284e-04
1.687500e+01 2.159026e-04
1.703125e+01 1.967794e-04
1.718750e+01 1.810607e-04
1.734375e+01 1.680078e-04
1.750000e+01 1.563067e-04
1.765625e+01 1.478982e-04
1.781250e+01 1.384028e-04
1.796875e+01 1.272598e-04
1.812500e+01 1.142236e-04
1.828125e+01 9.911064e-05
1.843750e+01 9.147805e-05
1.859375e+01 7.742260e-05
1.875000e+01 6.774799e-05
1.890625e+01 6.218175e-05
1.906250e+01 5.766932e-05
1.921875e+01 4.979464e-05
1.937500e+01 4.152094e-05
1.953125e+01 3.624518e-05
1.968750e+01 3.360803e-05
1.984375e+01 2.878578e-05
2.000000e+01 2.559953e-05
2.015625e+01 2.385618e-05
2.031250e+01 2.213907e-05
2.046875e+01 2.073539e-05
2.062500e+01 1.945946e-05
2.078125e+01 1.848169e-05
2.093750e+01 1.753756e-05
2.109375e+01 1.569618e-05
2.125000e+01 1.454844e-05
2.140625e+01 1.337889e-05
2.156250e+01 1.163723e-05
2.171875e+01 1.094713e-05
2.187500e+01 1.039184e-05
2.203125e+01 9.807514e-06
2.218750e+01 9.264543e-06
2.234375e+01 8.421042e-06
2.250000e+01 7.785353e-06
2.265625e+01 7.078908e-06
2.281250e+01 4.951407e-06
2.296875e+01 4.398890e-06
2.312500e+01 4.198730e-06
2.328125e+01 4.024774e-06
2.343750e+01 3.743242e-06
2.359375e+01 3.462573e-06
2.375000e+01 3.184589e-06
2.390625e+01 2.934199e-06
2.406250e+01 2.346749e-06
2.421875e+01 2.079469e-06
2.437500e+01 1.974951e-06
2.453125e+01 1.789582e-06
2.468750e+01 1.601597e-06
2.484375e+01 1.490130e-06
2.500000e+01 1.338729e-06
2.515625e+01 1.250732e-06
2.531250e+01 1.167233e-06
2.546875e+01 1.078964e-06
2.562500e+01 1.024087e-06
2.578125e+01 9.783256e-07
2.593750e+01 9.471451e-07
2.609375e+01 9.045712e-07
2.625000e+01 8.573675e-07
2.640625e+01 8.006729e-07
2.656250e+01 7.400071e-07
2.671875e+01 7.010425e-07
2.687500e+01 6.498236e-07
2.703125e+01 6.084040e-07
2.718750e+01 5.531034e-07
2.734375e+01 5.032644e-07
2.750000e+01 4.852162e-07
2.765625e+01 4.665034e-07
2.781250e+01 4.466282e-07
2.796875e+01 4.174247e-07
2.812500e+01 3.969347e-07
2.828125e+01 2.456296e-07
2.843750e+01 2.284352e-07
2.859375e+01 2.084294e-07
2.875000e+01 1.973950e-07
2.890625e+01 1.781119e-07
2.906250e+01 1.620368e-07
2.921875e+01 1.319818e-07
2.937500e+01 9.115223e-08
2.953125e+01 7.756281e-08
2.968750e+01 6.702393e-08
2.984375e+01 6.003835e-08
3.000000e+01 5.470204e-08
3.015625e+01 4.622277e-08
3.031250e+01 4.200895e-08
3.046875e+01 3.885153e-08
3.062500e+01 3.433602e-08
3.078125e+01 3.015969e-08
3.093750e+01 2.879090e-08
3.109375e+01 2.757564e-08
3.125000e+01 2.599873e-08
3.140625e+01 2.269975e-08
3.156250e+01 2.059246e-08
3.171875e+01 1.908085e-08
3.187500e+01 1.791604e-08
3.203125e+01 1.619146e-08
3.218750e+01 1.505448e-08
3.234375e+01 1.437648e-08
3.250000e+01 1.388652e-08
3.265625e+01 1.332725e-08
3.281250e+01 1.254970e-08
3.296875e+01 1.148871e-08
3.312500e+01 9.328501e-09
3.328125e+01 8.494600e-09
3.343750e+01 7.793248e-09
3.359375e+01 6.896063e-09
3.375000e+01 6.074277e-09
3.390625e+01 5.454594e-09
3.406250e+01 5.096674e-09
3.421875e+01 4.833514e-09
3.437500e+01 4.609152e-09
3.453125e+01 4.372587e-09
3.468750e+01 4.005321e-09
3.484375e+01 3.729834e-09
3.500000e+01 3.524037e-09
3.515625e+01 3.276282e-09
