# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 nan
1.123324e-15 nan
1.261857e-15 nan
1.417474e-15 nan
1.592283e-15 nan
1.788650e-15 nan
2.009233e-15 nan
2.257020e-15 nan
2.535364e-15 nan
2.848036e-15 nan
3.199267e-15 nan
3.593814e-15 nan
4.037017e-15 nan
4.534879e-15 1.640660e-01
5.094138e-15 1.846307e-01
5.722368e-15 2.045688e-01
6.428073e-15 1.514796e-01
7.220809e-15 2.260498e-01
8.111308e-15 2.221080e-01
9.111628e-15 2.558081e-01
1.023531e-14 2.655079e-01
1.149757e-14 2.755628e-01
1.291550e-14 2.936770e-01
1.450829e-14 2.894702e-01
1.629751e-14 2.916290e-01
1.830738e-14 3.068867e-01
2.056512e-14 3.401668e-01
2.310130e-14 3.865915e-01
2.595024e-14 3.761213e-01
2.915053e-14 3.915723e-01
3.274549e-14 4.412753e-01
3.678380e-14 4.059274e-01
4.132012e-14 4.465412e-01
4.641589e-14 5.145495e-01
5.214008e-14 4.908302e-01
5.857021e-14 5.561722e-01
6.579332e-14 5.560000e-01
7.390722e-14 5.976157e-01
8.302176e-14 6.547191e-01
9.326033e-14 6.803875e-01
1.047616e-13 7.597927e-01
1.176812e-13 8.320477e-01
1.321941e-13 8.233406e-01
1.484968e-13 8.894145e-01
1.668101e-13 9.863010e-01
1.873817e-13 1.037268e+00
2.104904e-13 1.033135e+00
2.364489e-13 1.156177e+00
2.656088e-13 1.218712e+00
2.983647e-13 1.358369e+00
3.351603e-13 1.573337e+00
3.764936e-13 1.494407e+00
4.229243e-13 1.681663e+00
4.750810e-13 1.830235e+00
5.336699e-13 1.959555e+00
5.994843e-13 2.337007e+00
6.734151e-13 2.440861e+00
7.564633e-13 2.621308e+00
8.497534e-13 2.497428e+00
9.545485e-13 2.587453e+00
1.072267e-12 3.090581e+00
1.204504e-12 3.120025e+00
1.353048e-12 3.437320e+00
1.519911e-12 3.659265e+00
1.707353e-12 4.031231e+00
1.917910e-12 4.323329e+00
2.154435e-12 4.217723e+00
2.420128e-12 4.689806e+00
2.718588e-12 4.659970e+00
3.053856e-12 4.995940e+00
3.430469e-12 5.467836e+00
3.853529e-12 5.749163e+00
4.328761e-12 5.875763e+00
4.862602e-12 6.258039e+00
5.462277e-12 6.614639e+00
6.135907e-12 6.859152e+00
6.892612e-12 6.823295e+00
7.742637e-12 7.370210e+00
8.697490e-12 7.413065e+00
9.770100e-12 8.151761e+00
1.097499e-11 8.091375e+00
1.232847e-11 8.364638e+00
1.384886e-11 9.193531e+00
1.555676e-11 9.136207e+00
1.747528e-11 9.209028e+00
1.963041e-11 9.886680e+00
2.205131e-11 9.699069e+00
2.477076e-11 9.685267e+00
2.782559e-11 9.876819e+00
3.125716e-11 1.096149e+01
3.511192e-11 1.073658e+01
3.944206e-11 1.089127e+01
4.430621e-11 1.118045e+01
4.977024e-11 1.209219e+01
5.590810e-11 1.144553e+01
6.280291e-11 1.240398e+01
7.054802e-11 1.299759e+01
7.924829e-11 1.252553e+01
8.902151e-11 1.313286e+01
1.000000e-10 1.293674e+01
