# x[h^-1_cMpc]  F_mean
0.000000e+00 9.442943e-01
1.562500e-01 8.975661e-01
3.125000e-01 8.581534e-01
4.687500e-01 8.224058e-01
6.250000e-01 7.856100e-01
7.812500e-01 7.540393e-01
9.375000e-01 7.245099e-01
1.093750e+00 6.923026e-01
1.250000e+00 6.600295e-01
1.406250e+00 6.328325e-01
1.562500e+00 6.077152e-01
1.718750e+00 5.801257e-01
1.875000e+00 5.553153e-01
2.031250e+00 5.327249e-01
2.187500e+00 5.088715e-01
2.343750e+00 4.886772e-01
2.500000e+00 4.693980e-01
2.656250e+00 4.505834e-01
2.812500e+00 4.319621e-01
2.968750e+00 4.157421e-01
3.125000e+00 3.997052e-01
3.281250e+00 3.840238e-01
3.437500e+00 3.689368e-01
3.593750e+00 3.547595e-01
3.750000e+00 3.408808e-01
3.906250e+00 3.275102e-01
4.062500e+00 3.144018e-01
4.218750e+00 3.018738e-01
4.375000e+00 2.911985e-01
4.531250e+00 2.803709e-01
4.687500e+00 2.696182e-01
4.843750e+00 2.599766e-01
5.000000e+00 2.497406e-01
5.156250e+00 2.405723e-01
5.312500e+00 2.307480e-01
5.468750e+00 2.218644e-01
5.625000e+00 2.123619e-01
5.781250e+00 2.044124e-01
5.937500e+00 1.970089e-01
6.093750e+00 1.888684e-01
6.250000e+00 1.817694e-01
6.406250e+00 1.752274e-01
6.562500e+00 1.694365e-01
6.718750e+00 1.638036e-01
6.875000e+00 1.590912e-01
7.031250e+00 1.532882e-01
7.187500e+00 1.483665e-01
7.343750e+00 1.434077e-01
7.500000e+00 1.382470e-01
7.656250e+00 1.337517e-01
7.812500e+00 1.290161e-01
7.968750e+00 1.246704e-01
8.125000e+00 1.198892e-01
8.281250e+00 1.154950e-01
8.437500e+00 1.113133e-01
8.593750e+00 1.072632e-01
8.750000e+00 1.038706e-01
8.906250e+00 9.960897e-02
9.062500e+00 9.543742e-02
9.218750e+00 9.190606e-02
9.375000e+00 8.821521e-02
9.531250e+00 8.501362e-02
9.687500e+00 8.204309e-02
9.843750e+00 7.910127e-02
1.000000e+01 7.592722e-02
1.015625e+01 7.323677e-02
1.031250e+01 7.052055e-02
1.046875e+01 6.783811e-02
1.062500e+01 6.532555e-02
1.078125e+01 6.279759e-02
1.093750e+01 6.008127e-02
1.109375e+01 5.692288e-02
1.125000e+01 5.482674e-02
1.140625e+01 5.296911e-02
1.156250e+01 5.086771e-02
1.171875e+01 4.870449e-02
1.187500e+01 4.667695e-02
1.203125e+01 4.492607e-02
1.218750e+01 4.273940e-02
1.234375e+01 4.103186e-02
1.250000e+01 3.941417e-02
1.265625e+01 3.796507e-02
1.281250e+01 3.630651e-02
1.296875e+01 3.481184e-02
1.312500e+01 3.338136e-02
1.328125e+01 3.232235e-02
1.343750e+01 3.110866e-02
1.359375e+01 2.997238e-02
1.375000e+01 2.869865e-02
1.390625e+01 2.745987e-02
1.406250e+01 2.627673e-02
1.421875e+01 2.536320e-02
1.437500e+01 2.426238e-02
1.453125e+01 2.347513e-02
1.468750e+01 2.281003e-02
1.484375e+01 2.204429e-02
1.500000e+01 2.131388e-02
1.515625e+01 2.070179e-02
1.531250e+01 2.006759e-02
1.546875e+01 1.947179e-02
1.562500e+01 1.887691e-02
1.578125e+01 1.826341e-02
1.593750e+01 1.767292e-02
1.609375e+01 1.704359e-02
1.625000e+01 1.637670e-02
1.640625e+01 1.577643e-02
1.656250e+01 1.525239e-02
1.671875e+01 1.464432e-02
1.687500e+01 1.413185e-02
1.703125e+01 1.353750e-02
1.718750e+01 1.295429e-02
1.734375e+01 1.236835e-02
1.750000e+01 1.194511e-02
1.765625e+01 1.149653e-02
1.781250e+01 1.104418e-02
1.796875e+01 1.063269e-02
1.812500e+01 1.023814e-02
1.828125e+01 9.833107e-03
1.843750e+01 9.448592e-03
1.859375e+01 9.076836e-03
1.875000e+01 8.752993e-03
1.890625e+01 8.418984e-03
1.906250e+01 8.078873e-03
1.921875e+01 7.820976e-03
1.937500e+01 7.560854e-03
1.953125e+01 7.293166e-03
1.968750e+01 7.025548e-03
1.984375e+01 6.731931e-03
2.000000e+01 6.455539e-03
2.015625e+01 6.174901e-03
2.031250e+01 5.944511e-03
2.046875e+01 5.714341e-03
2.062500e+01 5.464968e-03
2.078125e+01 5.255505e-03
2.093750e+01 5.043238e-03
2.109375e+01 4.865314e-03
2.125000e+01 4.696465e-03
2.140625e+01 4.528196e-03
2.156250e+01 4.347903e-03
2.171875e+01 4.160069e-03
2.187500e+01 4.024250e-03
2.203125e+01 3.881764e-03
2.218750e+01 3.739715e-03
2.234375e+01 3.587810e-03
2.250000e+01 3.461882e-03
2.265625e+01 3.320438e-03
2.281250e+01 3.207004e-03
2.296875e+01 3.086174e-03
2.312500e+01 2.963023e-03
2.328125e+01 2.863445e-03
2.343750e+01 2.774909e-03
2.359375e+01 2.644310e-03
2.375000e+01 2.569694e-03
2.390625e+01 2.481361e-03
2.406250e+01 2.410967e-03
2.421875e+01 2.328307e-03
2.437500e+01 2.269343e-03
2.453125e+01 2.202366e-03
2.468750e+01 2.139849e-03
2.484375e+01 2.077989e-03
2.500000e+01 2.000110e-03
2.515625e+01 1.931914e-03
2.531250e+01 1.856770e-03
2.546875e+01 1.793610e-03
2.562500e+01 1.740437e-03
2.578125e+01 1.675770e-03
2.593750e+01 1.580264e-03
2.609375e+01 1.527536e-03
2.625000e+01 1.476055e-03
2.640625e+01 1.427426e-03
2.656250e+01 1.380323e-03
2.671875e+01 1.330508e-03
2.687500e+01 1.277879e-03
2.703125e+01 1.224673e-03
2.718750e+01 1.170124e-03
2.734375e+01 1.133292e-03
2.750000e+01 1.100889e-03
2.765625e+01 1.067494e-03
2.781250e+01 1.031653e-03
2.796875e+01 9.989714e-04
2.812500e+01 9.685850e-04
2.828125e+01 9.319605e-04
2.843750e+01 9.013421e-04
2.859375e+01 8.696870e-04
2.875000e+01 8.383130e-04
2.890625e+01 8.088382e-04
2.906250e+01 7.743083e-04
2.921875e+01 7.546479e-04
2.937500e+01 7.322659e-04
2.953125e+01 7.015940e-04
2.968750e+01 6.644472e-04
2.984375e+01 6.322270e-04
3.000000e+01 6.076958e-04
3.015625e+01 5.909618e-04
3.031250e+01 5.754127e-04
3.046875e+01 5.560154e-04
3.062500e+01 5.308650e-04
3.078125e+01 5.086377e-04
3.093750e+01 4.896747e-04
3.109375e+01 4.762931e-04
3.125000e+01 4.601068e-04
3.140625e+01 4.443343e-04
3.156250e+01 4.308818e-04
3.171875e+01 4.207684e-04
3.187500e+01 4.113809e-04
3.203125e+01 3.991845e-04
3.218750e+01 3.851623e-04
3.234375e+01 3.755950e-04
3.250000e+01 3.674968e-04
3.265625e+01 3.594720e-04
3.281250e+01 3.507489e-04
3.296875e+01 3.424545e-04
3.312500e+01 3.329899e-04
3.328125e+01 3.126530e-04
3.343750e+01 2.910730e-04
3.359375e+01 2.779806e-04
3.375000e+01 2.690451e-04
3.390625e+01 2.603832e-04
3.406250e+01 2.496262e-04
3.421875e+01 2.347165e-04
3.437500e+01 2.177909e-04
3.453125e+01 2.069278e-04
3.468750e+01 1.992749e-04
3.484375e+01 1.933776e-04
3.500000e+01 1.888681e-04
3.515625e+01 1.827184e-04
3.531250e+01 1.768156e-04
3.546875e+01 1.729101e-04
3.562500e+01 1.681646e-04
3.578125e+01 1.637664e-04
3.593750e+01 1.598396e-04
3.609375e+01 1.530397e-04
3.625000e+01 1.498880e-04
3.640625e+01 1.455679e-04
3.656250e+01 1.418826e-04
3.671875e+01 1.377318e-04
3.687500e+01 1.340883e-04
3.703125e+01 1.300521e-04
3.718750e+01 1.251652e-04
3.734375e+01 1.210454e-04
3.750000e+01 1.168447e-04
3.765625e+01 1.114514e-04
3.781250e+01 1.075030e-04
3.796875e+01 9.895669e-05
3.812500e+01 9.513084e-05
3.828125e+01 9.234513e-05
3.843750e+01 8.914223e-05
3.859375e+01 8.658709e-05
3.875000e+01 8.289543e-05
3.890625e+01 7.804482e-05
3.906250e+01 7.523388e-05
3.921875e+01 7.266898e-05
3.937500e+01 7.003489e-05
3.953125e+01 6.868219e-05
3.968750e+01 6.735648e-05
3.984375e+01 6.525362e-05
4.000000e+01 6.298012e-05
4.015625e+01 6.131599e-05
4.031250e+01 5.865270e-05
4.046875e+01 5.643189e-05
4.062500e+01 5.407446e-05
4.078125e+01 5.266029e-05
4.093750e+01 5.116707e-05
4.109375e+01 4.998143e-05
4.125000e+01 4.880724e-05
4.140625e+01 4.700734e-05
4.156250e+01 4.501728e-05
4.171875e+01 4.355014e-05
4.187500e+01 4.241326e-05
4.203125e+01 4.088337e-05
4.218750e+01 3.836913e-05
4.234375e+01 3.669896e-05
4.250000e+01 3.548449e-05
4.265625e+01 3.480685e-05
4.281250e+01 3.414134e-05
4.296875e+01 3.312812e-05
4.312500e+01 3.197934e-05
4.328125e+01 3.098519e-05
4.343750e+01 3.014602e-05
4.359375e+01 2.945340e-05
4.375000e+01 2.874348e-05
4.390625e+01 2.802988e-05
4.406250e+01 2.751303e-05
4.421875e+01 2.672962e-05
4.437500e+01 2.595757e-05
4.453125e+01 2.529969e-05
4.468750e+01 2.475829e-05
4.484375e+01 2.425001e-05
4.500000e+01 2.323097e-05
4.515625e+01 2.263985e-05
4.531250e+01 2.211745e-05
4.546875e+01 2.126192e-05
4.562500e+01 2.080690e-05
4.578125e+01 2.046165e-05
4.593750e+01 1.998771e-05
4.609375e+01 1.934743e-05
4.625000e+01 1.887332e-05
4.640625e+01 1.832101e-05
4.656250e+01 1.805233e-05
4.671875e+01 1.770894e-05
4.687500e+01 1.722376e-05
4.703125e+01 1.570088e-05
4.718750e+01 1.502128e-05
4.734375e+01 1.479084e-05
4.750000e+01 1.448364e-05
4.765625e+01 1.410647e-05
4.781250e+01 1.369700e-05
4.796875e+01 1.343395e-05
4.812500e+01 1.313666e-05
4.828125e+01 1.277113e-05
4.843750e+01 1.261055e-05
4.859375e+01 1.246734e-05
4.875000e+01 1.226644e-05
4.890625e+01 1.188668e-05
4.906250e+01 1.147368e-05
4.921875e+01 1.108298e-05
4.937500e+01 1.066698e-05
4.953125e+01 1.044135e-05
4.968750e+01 1.024943e-05
4.984375e+01 1.001891e-05
5.000000e+01 9.372000e-06
5.015625e+01 8.892906e-06
5.031250e+01 8.041903e-06
5.046875e+01 7.753075e-06
5.062500e+01 7.521039e-06
5.078125e+01 7.195592e-06
5.093750e+01 6.859459e-06
5.109375e+01 6.649236e-06
5.125000e+01 6.247101e-06
5.140625e+01 6.160226e-06
5.156250e+01 6.094128e-06
5.171875e+01 5.997152e-06
5.187500e+01 5.828504e-06
5.203125e+01 5.747528e-06
5.218750e+01 5.657291e-06
5.234375e+01 5.599003e-06
5.250000e+01 5.523992e-06
5.265625e+01 5.423972e-06
5.281250e+01 5.289622e-06
5.296875e+01 5.205317e-06
5.312500e+01 5.131231e-06
5.328125e+01 5.030944e-06
5.343750e+01 4.802708e-06
5.359375e+01 4.713422e-06
5.375000e+01 4.639032e-06
5.390625e+01 4.522933e-06
5.406250e+01 4.411144e-06
5.421875e+01 4.203520e-06
5.437500e+01 4.103112e-06
5.453125e+01 3.883905e-06
5.468750e+01 3.588847e-06
5.484375e+01 3.366475e-06
5.500000e+01 3.321754e-06
5.515625e+01 3.264121e-06
5.531250e+01 3.222239e-06
5.546875e+01 3.136751e-06
5.562500e+01 3.102613e-06
5.578125e+01 3.065766e-06
5.593750e+01 2.883291e-06
5.609375e+01 2.194005e-06
5.625000e+01 1.954984e-06
5.640625e+01 1.628059e-06
5.656250e+01 1.452027e-06
5.671875e+01 1.395694e-06
5.687500e+01 1.333934e-06
5.703125e+01 1.312454e-06
5.718750e+01 1.300638e-06
5.734375e+01 1.286714e-06
5.750000e+01 1.269986e-06
5.765625e+01 1.247200e-06
5.781250e+01 1.224013e-06
5.796875e+01 1.206443e-06
5.812500e+01 1.179342e-06
5.828125e+01 1.123626e-06
5.843750e+01 1.101049e-06
5.859375e+01 1.085746e-06
5.875000e+01 1.044907e-06
5.890625e+01 1.032186e-06
5.906250e+01 1.016849e-06
5.921875e+01 1.005408e-06
5.937500e+01 9.790766e-07
5.953125e+01 9.637034e-07
5.968750e+01 9.469827e-07
5.984375e+01 9.009847e-07
6.000000e+01 8.736508e-07
6.015625e+01 8.554843e-07
6.031250e+01 8.260037e-07
6.046875e+01 7.906287e-07
6.062500e+01 7.693967e-07
6.078125e+01 7.612022e-07
6.093750e+01 7.484218e-07
6.109375e+01 7.311892e-07
6.125000e+01 7.032720e-07
6.140625e+01 6.780384e-07
6.156250e+01 6.586675e-07
6.171875e+01 6.441044e-07
6.187500e+01 6.295421e-07
6.203125e+01 5.974877e-07
6.218750e+01 5.692430e-07
6.234375e+01 5.592939e-07
6.250000e+01 5.507256e-07
6.265625e+01 5.442162e-07
6.281250e+01 5.371643e-07
6.296875e+01 5.311819e-07
6.312500e+01 5.236109e-07
6.328125e+01 5.159711e-07
6.343750e+01 5.081924e-07
6.359375e+01 4.944039e-07
6.375000e+01 4.883311e-07
6.390625e+01 4.838776e-07
6.406250e+01 4.790265e-07
6.421875e+01 4.714166e-07
6.437500e+01 4.671189e-07
6.453125e+01 4.591275e-07
6.468750e+01 4.483065e-07
6.484375e+01 4.438356e-07
6.500000e+01 4.237994e-07
6.515625e+01 4.122083e-07
6.531250e+01 4.043964e-07
6.546875e+01 3.989722e-07
6.562500e+01 3.900274e-07
6.578125e+01 3.787423e-07
6.593750e+01 3.455991e-07
6.609375e+01 3.385493e-07
6.625000e+01 3.347673e-07
6.640625e+01 3.312815e-07
6.656250e+01 3.251404e-07
6.671875e+01 3.167087e-07
6.687500e+01 3.116838e-07
6.703125e+01 3.083068e-07
6.718750e+01 3.032396e-07
6.734375e+01 2.950979e-07
6.750000e+01 2.896899e-07
6.765625e+01 2.843347e-07
6.781250e+01 2.806788e-07
6.796875e+01 2.739726e-07
6.812500e+01 2.676936e-07
6.828125e+01 2.633325e-07
6.843750e+01 2.576505e-07
6.859375e+01 2.511406e-07
6.875000e+01 2.406416e-07
6.890625e+01 2.327912e-07
6.906250e+01 2.286073e-07
6.921875e+01 2.247002e-07
6.937500e+01 2.214955e-07
6.953125e+01 2.158226e-07
6.968750e+01 2.130498e-07
6.984375e+01 2.092315e-07
7.000000e+01 1.983546e-07
7.015625e+01 1.933907e-07
7.031250e+01 1.867117e-07
7.046875e+01 1.790209e-07
7.062500e+01 1.719472e-07
7.078125e+01 1.682863e-07
7.093750e+01 1.547265e-07
7.109375e+01 1.263427e-07
7.125000e+01 1.127579e-07
7.140625e+01 1.075837e-07
7.156250e+01 9.987617e-08
7.171875e+01 9.917681e-08
7.187500e+01 9.795095e-08
7.203125e+01 9.746719e-08
7.218750e+01 9.670095e-08
7.234375e+01 9.599199e-08
7.250000e+01 9.522664e-08
7.265625e+01 9.255968e-08
7.281250e+01 9.016002e-08
7.296875e+01 8.894099e-08
7.312500e+01 8.817360e-08
7.328125e+01 8.748133e-08
7.343750e+01 8.659751e-08
7.359375e+01 8.548876e-08
7.375000e+01 8.464832e-08
7.390625e+01 8.197227e-08
7.406250e+01 6.884304e-08
7.421875e+01 6.458267e-08
7.437500e+01 5.862413e-08
7.453125e+01 5.636904e-08
7.468750e+01 5.387976e-08
7.484375e+01 5.219337e-08
7.500000e+01 5.102069e-08
7.515625e+01 4.955130e-08
7.531250e+01 4.812937e-08
7.546875e+01 4.716345e-08
7.562500e+01 3.958413e-08
7.578125e+01 3.076045e-08
7.593750e+01 3.008903e-08
7.609375e+01 2.941147e-08
7.625000e+01 2.847823e-08
7.640625e+01 2.731629e-08
7.656250e+01 2.689356e-08
7.671875e+01 2.482179e-08
7.687500e+01 2.048448e-08
7.703125e+01 1.936453e-08
7.718750e+01 1.836296e-08
7.734375e+01 1.806824e-08
7.750000e+01 1.784744e-08
7.765625e+01 1.763062e-08
7.781250e+01 1.702141e-08
7.796875e+01 1.687215e-08
7.812500e+01 1.672973e-08
7.828125e+01 1.647997e-08
7.843750e+01 1.630027e-08
7.859375e+01 1.595011e-08
7.875000e+01 1.564094e-08
7.890625e+01 1.550851e-08
7.906250e+01 1.533818e-08
7.921875e+01 1.520891e-08
7.937500e+01 1.483408e-08
7.953125e+01 1.449601e-08
7.968750e+01 1.415966e-08
7.984375e+01 1.372933e-08
