# x[h^-1_cMpc]  F_mean
0.000000e+00 9.449024e-01
1.562500e-01 9.037148e-01
3.125000e-01 8.667802e-01
4.687500e-01 8.283363e-01
6.250000e-01 7.935581e-01
7.812500e-01 7.599693e-01
9.375000e-01 7.254061e-01
1.093750e+00 6.921490e-01
1.250000e+00 6.613907e-01
1.406250e+00 6.328837e-01
1.562500e+00 6.073628e-01
1.718750e+00 5.819318e-01
1.875000e+00 5.563401e-01
2.031250e+00 5.349555e-01
2.187500e+00 5.141820e-01
2.343750e+00 4.930818e-01
2.500000e+00 4.747090e-01
2.656250e+00 4.566722e-01
2.812500e+00 4.400176e-01
2.968750e+00 4.238733e-01
3.125000e+00 4.080183e-01
3.281250e+00 3.938638e-01
3.437500e+00 3.792147e-01
3.593750e+00 3.654846e-01
3.750000e+00 3.522339e-01
3.906250e+00 3.393814e-01
4.062500e+00 3.268885e-01
4.218750e+00 3.141301e-01
4.375000e+00 3.026404e-01
4.531250e+00 2.915955e-01
4.687500e+00 2.805240e-01
4.843750e+00 2.691766e-01
5.000000e+00 2.584163e-01
5.156250e+00 2.483236e-01
5.312500e+00 2.395591e-01
5.468750e+00 2.307940e-01
5.625000e+00 2.216460e-01
5.781250e+00 2.144061e-01
5.937500e+00 2.060663e-01
6.093750e+00 1.985158e-01
6.250000e+00 1.917198e-01
6.406250e+00 1.857745e-01
6.562500e+00 1.792325e-01
6.718750e+00 1.734854e-01
6.875000e+00 1.681276e-01
7.031250e+00 1.629250e-01
7.187500e+00 1.573652e-01
7.343750e+00 1.522743e-01
7.500000e+00 1.473770e-01
7.656250e+00 1.423591e-01
7.812500e+00 1.378398e-01
7.968750e+00 1.334781e-01
8.125000e+00 1.287058e-01
8.281250e+00 1.241575e-01
8.437500e+00 1.199732e-01
8.593750e+00 1.156369e-01
8.750000e+00 1.112760e-01
8.906250e+00 1.072698e-01
9.062500e+00 1.037022e-01
9.218750e+00 9.957890e-02
9.375000e+00 9.595022e-02
9.531250e+00 9.219408e-02
9.687500e+00 8.886196e-02
9.843750e+00 8.515158e-02
1.000000e+01 8.217022e-02
1.015625e+01 7.938156e-02
1.031250e+01 7.649583e-02
1.046875e+01 7.363502e-02
1.062500e+01 7.095112e-02
1.078125e+01 6.851132e-02
1.093750e+01 6.595250e-02
1.109375e+01 6.345047e-02
1.125000e+01 6.088752e-02
1.140625e+01 5.852948e-02
1.156250e+01 5.641794e-02
1.171875e+01 5.403626e-02
1.187500e+01 5.186992e-02
1.203125e+01 4.995672e-02
1.218750e+01 4.803657e-02
1.234375e+01 4.632500e-02
1.250000e+01 4.468215e-02
1.265625e+01 4.254077e-02
1.281250e+01 4.096211e-02
1.296875e+01 3.913295e-02
1.312500e+01 3.755568e-02
1.328125e+01 3.611510e-02
1.343750e+01 3.505320e-02
1.359375e+01 3.401069e-02
1.375000e+01 3.279614e-02
1.390625e+01 3.181156e-02
1.406250e+01 3.064316e-02
1.421875e+01 2.955572e-02
1.437500e+01 2.848569e-02
1.453125e+01 2.723894e-02
1.468750e+01 2.624099e-02
1.484375e+01 2.534817e-02
1.500000e+01 2.440057e-02
1.515625e+01 2.354556e-02
1.531250e+01 2.278578e-02
1.546875e+01 2.212955e-02
1.562500e+01 2.138831e-02
1.578125e+01 2.068624e-02
1.593750e+01 1.992167e-02
1.609375e+01 1.920767e-02
1.625000e+01 1.848017e-02
1.640625e+01 1.768078e-02
1.656250e+01 1.702526e-02
1.671875e+01 1.642445e-02
1.687500e+01 1.579264e-02
1.703125e+01 1.516636e-02
1.718750e+01 1.459603e-02
1.734375e+01 1.397726e-02
1.750000e+01 1.352692e-02
1.765625e+01 1.305326e-02
1.781250e+01 1.254594e-02
1.796875e+01 1.203898e-02
1.812500e+01 1.145474e-02
1.828125e+01 1.102100e-02
1.843750e+01 1.064464e-02
1.859375e+01 1.022458e-02
1.875000e+01 9.767045e-03
1.890625e+01 9.365433e-03
1.906250e+01 9.074114e-03
1.921875e+01 8.671636e-03
1.937500e+01 8.224367e-03
1.953125e+01 7.846830e-03
1.968750e+01 7.516846e-03
1.984375e+01 7.192739e-03
2.000000e+01 6.793377e-03
2.015625e+01 6.549558e-03
2.031250e+01 6.297794e-03
2.046875e+01 6.015119e-03
2.062500e+01 5.783002e-03
2.078125e+01 5.515980e-03
2.093750e+01 5.325358e-03
2.109375e+01 5.155120e-03
2.125000e+01 4.967920e-03
2.140625e+01 4.762335e-03
2.156250e+01 4.599834e-03
2.171875e+01 4.444443e-03
2.187500e+01 4.257350e-03
2.203125e+01 4.124922e-03
2.218750e+01 3.916103e-03
2.234375e+01 3.791747e-03
2.250000e+01 3.666186e-03
2.265625e+01 3.523558e-03
2.281250e+01 3.418043e-03
2.296875e+01 3.332287e-03
2.312500e+01 3.239217e-03
2.328125e+01 3.140715e-03
2.343750e+01 3.004437e-03
2.359375e+01 2.877281e-03
2.375000e+01 2.766751e-03
2.390625e+01 2.666236e-03
2.406250e+01 2.546018e-03
2.421875e+01 2.411866e-03
2.437500e+01 2.315008e-03
2.453125e+01 2.225076e-03
2.468750e+01 2.146276e-03
2.484375e+01 2.084889e-03
2.500000e+01 2.023718e-03
2.515625e+01 1.971933e-03
2.531250e+01 1.916849e-03
2.546875e+01 1.862446e-03
2.562500e+01 1.805285e-03
2.578125e+01 1.738411e-03
2.593750e+01 1.669287e-03
2.609375e+01 1.612655e-03
2.625000e+01 1.550683e-03
2.640625e+01 1.503657e-03
2.656250e+01 1.464012e-03
2.671875e+01 1.416644e-03
2.687500e+01 1.379725e-03
2.703125e+01 1.328748e-03
2.718750e+01 1.260443e-03
2.734375e+01 1.188332e-03
2.750000e+01 1.122176e-03
2.765625e+01 1.070868e-03
2.781250e+01 1.036245e-03
2.796875e+01 1.008119e-03
2.812500e+01 9.731802e-04
2.828125e+01 9.190689e-04
2.843750e+01 8.814500e-04
2.859375e+01 8.483718e-04
2.875000e+01 8.207297e-04
2.890625e+01 7.978618e-04
2.906250e+01 7.756986e-04
2.921875e+01 7.539167e-04
2.937500e+01 7.077071e-04
2.953125e+01 6.879044e-04
2.968750e+01 6.686898e-04
2.984375e+01 6.511018e-04
3.000000e+01 6.335847e-04
3.015625e+01 6.159824e-04
3.031250e+01 5.989224e-04
3.046875e+01 5.800947e-04
3.062500e+01 5.592236e-04
3.078125e+01 5.445338e-04
3.093750e+01 5.289428e-04
3.109375e+01 5.109582e-04
3.125000e+01 4.938453e-04
3.140625e+01 4.762644e-04
3.156250e+01 4.584153e-04
3.171875e+01 4.463117e-04
3.187500e+01 4.313648e-04
3.203125e+01 4.183390e-04
3.218750e+01 4.038291e-04
3.234375e+01 3.915002e-04
3.250000e+01 3.752426e-04
3.265625e+01 3.565392e-04
3.281250e+01 3.443272e-04
3.296875e+01 3.306721e-04
3.312500e+01 3.113475e-04
3.328125e+01 3.026173e-04
3.343750e+01 2.924803e-04
3.359375e+01 2.843009e-04
3.375000e+01 2.760150e-04
3.390625e+01 2.644873e-04
3.406250e+01 2.498489e-04
3.421875e+01 2.396040e-04
3.437500e+01 2.331091e-04
3.453125e+01 2.259671e-04
3.468750e+01 2.183876e-04
3.484375e+01 2.075633e-04
3.500000e+01 1.984470e-04
3.515625e+01 1.927071e-04
3.531250e+01 1.872271e-04
3.546875e+01 1.816272e-04
3.562500e+01 1.759997e-04
3.578125e+01 1.690393e-04
3.593750e+01 1.603981e-04
3.609375e+01 1.526914e-04
3.625000e+01 1.446567e-04
3.640625e+01 1.386612e-04
3.656250e+01 1.335154e-04
3.671875e+01 1.282386e-04
3.687500e+01 1.217312e-04
3.703125e+01 1.178736e-04
3.718750e+01 1.144968e-04
3.734375e+01 1.105892e-04
3.750000e+01 1.077631e-04
3.765625e+01 1.039567e-04
3.781250e+01 1.012690e-04
3.796875e+01 9.839735e-05
3.812500e+01 9.466505e-05
3.828125e+01 9.195397e-05
3.843750e+01 8.845106e-05
3.859375e+01 8.482815e-05
3.875000e+01 8.277879e-05
3.890625e+01 7.883475e-05
3.906250e+01 7.653226e-05
3.921875e+01 7.343382e-05
3.937500e+01 7.013571e-05
3.953125e+01 6.597272e-05
3.968750e+01 6.365657e-05
3.984375e+01 6.079270e-05
4.000000e+01 5.723593e-05
4.015625e+01 5.421656e-05
4.031250e+01 5.246964e-05
4.046875e+01 5.138402e-05
4.062500e+01 5.015144e-05
4.078125e+01 4.917296e-05
4.093750e+01 4.828605e-05
4.109375e+01 4.724675e-05
4.125000e+01 4.615033e-05
4.140625e+01 4.513375e-05
4.156250e+01 4.414010e-05
4.171875e+01 4.274797e-05
4.187500e+01 4.096956e-05
4.203125e+01 3.961226e-05
4.218750e+01 3.861893e-05
4.234375e+01 3.749465e-05
4.250000e+01 3.665641e-05
4.265625e+01 3.549444e-05
4.281250e+01 3.456737e-05
4.296875e+01 3.371515e-05
4.312500e+01 3.225104e-05
4.328125e+01 3.106694e-05
4.343750e+01 2.979465e-05
4.359375e+01 2.900868e-05
4.375000e+01 2.768620e-05
4.390625e+01 2.685695e-05
4.406250e+01 2.610473e-05
4.421875e+01 2.526193e-05
4.437500e+01 2.448971e-05
4.453125e+01 2.351315e-05
4.468750e+01 2.291766e-05
4.484375e+01 2.194749e-05
4.500000e+01 2.097256e-05
4.515625e+01 1.998398e-05
4.531250e+01 1.947297e-05
4.546875e+01 1.900630e-05
4.562500e+01 1.830307e-05
4.578125e+01 1.795223e-05
4.593750e+01 1.755608e-05
4.609375e+01 1.691948e-05
4.625000e+01 1.644714e-05
4.640625e+01 1.610740e-05
4.656250e+01 1.570335e-05
4.671875e+01 1.523095e-05
4.687500e+01 1.501677e-05
4.703125e+01 1.453819e-05
4.718750e+01 1.383198e-05
4.734375e+01 1.330700e-05
4.750000e+01 1.292017e-05
4.765625e+01 1.239694e-05
4.781250e+01 1.212079e-05
4.796875e+01 1.178067e-05
4.812500e+01 1.149399e-05
4.828125e+01 1.120672e-05
4.843750e+01 1.095089e-05
4.859375e+01 1.065209e-05
4.875000e+01 1.048227e-05
4.890625e+01 1.026057e-05
4.906250e+01 9.462523e-06
4.921875e+01 8.609570e-06
4.937500e+01 8.172313e-06
4.953125e+01 7.565809e-06
4.968750e+01 7.202787e-06
4.984375e+01 6.984095e-06
5.000000e+01 6.744411e-06
5.015625e+01 6.553509e-06
5.031250e+01 6.198139e-06
5.046875e+01 6.049340e-06
5.062500e+01 5.911350e-06
5.078125e+01 5.665072e-06
5.093750e+01 5.004556e-06
5.109375e+01 4.501658e-06
5.125000e+01 4.249026e-06
5.140625e+01 4.146553e-06
5.156250e+01 4.008203e-06
5.171875e+01 3.710505e-06
5.187500e+01 3.600252e-06
5.203125e+01 3.432342e-06
5.218750e+01 3.335197e-06
5.234375e+01 3.273892e-06
5.250000e+01 3.203450e-06
5.265625e+01 3.141873e-06
5.281250e+01 2.988994e-06
5.296875e+01 2.692761e-06
5.312500e+01 2.570431e-06
5.328125e+01 2.416460e-06
5.343750e+01 2.289293e-06
5.359375e+01 2.226896e-06
5.375000e+01 2.133962e-06
5.390625e+01 2.064478e-06
5.406250e+01 1.985224e-06
5.421875e+01 1.903954e-06
5.437500e+01 1.770096e-06
5.453125e+01 1.598016e-06
5.468750e+01 1.505411e-06
5.484375e+01 1.368105e-06
5.500000e+01 1.213902e-06
5.515625e+01 1.061273e-06
5.531250e+01 9.817024e-07
5.546875e+01 9.645852e-07
5.562500e+01 9.301262e-07
5.578125e+01 8.704095e-07
5.593750e+01 8.036836e-07
5.609375e+01 7.811880e-07
5.625000e+01 7.636265e-07
5.640625e+01 7.458409e-07
5.656250e+01 7.184604e-07
5.671875e+01 6.989212e-07
5.687500e+01 6.735237e-07
5.703125e+01 6.490824e-07
5.718750e+01 6.350713e-07
5.734375e+01 6.218746e-07
5.750000e+01 6.002798e-07
5.765625e+01 5.845860e-07
5.781250e+01 5.638568e-07
5.796875e+01 5.417292e-07
5.812500e+01 5.142753e-07
5.828125e+01 4.896968e-07
5.843750e+01 4.618258e-07
5.859375e+01 4.415055e-07
5.875000e+01 4.288316e-07
5.890625e+01 4.184177e-07
5.906250e+01 4.026374e-07
5.921875e+01 3.879501e-07
5.937500e+01 3.793294e-07
5.953125e+01 3.657099e-07
5.968750e+01 3.542640e-07
5.984375e+01 3.466649e-07
6.000000e+01 3.388782e-07
6.015625e+01 3.297242e-07
6.031250e+01 3.226856e-07
6.046875e+01 3.158395e-07
6.062500e+01 3.082726e-07
6.078125e+01 2.994099e-07
6.093750e+01 2.852375e-07
6.109375e+01 2.742080e-07
6.125000e+01 2.647675e-07
6.140625e+01 2.483018e-07
6.156250e+01 2.373745e-07
6.171875e+01 2.265996e-07
6.187500e+01 2.219910e-07
6.203125e+01 2.183521e-07
6.218750e+01 2.110451e-07
6.234375e+01 2.012925e-07
6.250000e+01 1.969847e-07
6.265625e+01 1.909863e-07
6.281250e+01 1.787215e-07
6.296875e+01 1.734155e-07
6.312500e+01 1.692202e-07
6.328125e+01 1.646124e-07
6.343750e+01 1.586303e-07
6.359375e+01 1.534632e-07
6.375000e+01 1.464859e-07
6.390625e+01 1.399768e-07
6.406250e+01 1.359810e-07
6.421875e+01 1.321884e-07
6.437500e+01 1.286901e-07
6.453125e+01 1.243013e-07
6.468750e+01 1.215499e-07
6.484375e+01 1.191058e-07
6.500000e+01 1.157137e-07
6.515625e+01 1.120137e-07
6.531250e+01 1.096683e-07
6.546875e+01 1.058320e-07
6.562500e+01 1.004360e-07
6.578125e+01 9.772439e-08
6.593750e+01 9.582375e-08
6.609375e+01 9.469942e-08
6.625000e+01 9.330780e-08
6.640625e+01 9.126251e-08
6.656250e+01 9.012874e-08
6.671875e+01 8.759136e-08
6.687500e+01 8.456720e-08
6.703125e+01 8.094067e-08
6.718750e+01 7.935272e-08
6.734375e+01 7.713390e-08
6.750000e+01 7.436175e-08
6.765625e+01 7.212878e-08
6.781250e+01 7.027520e-08
6.796875e+01 6.820653e-08
6.812500e+01 6.581420e-08
6.828125e+01 6.174033e-08
6.843750e+01 5.958988e-08
6.859375e+01 5.745857e-08
6.875000e+01 5.384280e-08
6.890625e+01 5.244991e-08
6.906250e+01 5.158479e-08
6.921875e+01 5.023414e-08
6.937500e+01 4.771041e-08
6.953125e+01 4.655899e-08
6.968750e+01 4.462210e-08
6.984375e+01 4.332269e-08
7.000000e+01 4.241574e-08
7.015625e+01 4.148089e-08
7.031250e+01 4.040851e-08
7.046875e+01 3.912653e-08
7.062500e+01 3.835556e-08
7.078125e+01 3.694354e-08
7.093750e+01 3.483369e-08
7.109375e+01 3.351950e-08
7.125000e+01 3.250426e-08
7.140625e+01 3.150180e-08
7.156250e+01 2.964222e-08
7.171875e+01 2.680917e-08
7.187500e+01 2.625546e-08
7.203125e+01 2.576741e-08
7.218750e+01 2.509068e-08
7.234375e+01 2.423765e-08
7.250000e+01 2.364840e-08
7.265625e+01 2.305709e-08
7.281250e+01 2.226720e-08
7.296875e+01 2.148126e-08
7.312500e+01 2.090971e-08
7.328125e+01 2.041728e-08
7.343750e+01 1.984324e-08
7.359375e+01 1.889397e-08
7.375000e+01 1.814708e-08
7.390625e+01 1.767781e-08
7.406250e+01 1.676337e-08
7.421875e+01 1.577893e-08
7.437500e+01 1.502051e-08
7.453125e+01 1.433638e-08
7.468750e+01 1.357212e-08
7.484375e+01 1.278853e-08
7.500000e+01 1.201461e-08
7.515625e+01 1.156242e-08
7.531250e+01 1.127600e-08
7.546875e+01 1.091118e-08
7.562500e+01 8.682863e-09
7.578125e+01 8.190760e-09
7.593750e+01 8.066510e-09
7.609375e+01 7.827910e-09
7.625000e+01 7.678650e-09
7.640625e+01 7.542561e-09
7.656250e+01 7.375899e-09
7.671875e+01 7.186961e-09
7.687500e+01 7.019107e-09
7.703125e+01 6.919546e-09
7.718750e+01 6.815928e-09
7.734375e+01 6.687775e-09
7.750000e+01 6.150331e-09
7.765625e+01 5.485554e-09
7.781250e+01 5.205889e-09
7.796875e+01 4.468120e-09
7.812500e+01 4.268884e-09
7.828125e+01 3.835576e-09
7.843750e+01 3.055537e-09
7.859375e+01 2.826886e-09
7.875000e+01 2.709748e-09
7.890625e+01 2.575382e-09
7.906250e+01 2.493388e-09
7.921875e+01 2.395056e-09
7.937500e+01 2.346696e-09
7.953125e+01 2.257917e-09
7.968750e+01 2.193117e-09
7.984375e+01 2.143385e-09
