# x[h^-1_cMpc]  F_mean
0.000000e+00 6.756546e-01
1.562500e-01 5.320307e-01
3.125000e-01 4.302417e-01
4.687500e-01 3.493024e-01
6.250000e-01 2.843948e-01
7.812500e-01 2.328108e-01
9.375000e-01 1.923061e-01
1.093750e+00 1.574277e-01
1.250000e+00 1.283195e-01
1.406250e+00 1.055354e-01
1.562500e+00 8.749037e-02
1.718750e+00 7.248771e-02
1.875000e+00 6.095778e-02
2.031250e+00 5.211767e-02
2.187500e+00 4.432073e-02
2.343750e+00 3.715231e-02
2.500000e+00 3.117579e-02
2.656250e+00 2.621123e-02
2.812500e+00 2.193348e-02
2.968750e+00 1.845177e-02
3.125000e+00 1.552242e-02
3.281250e+00 1.318041e-02
3.437500e+00 1.126829e-02
3.593750e+00 9.531737e-03
3.750000e+00 8.055273e-03
3.906250e+00 6.852421e-03
4.062500e+00 5.491743e-03
4.218750e+00 4.730259e-03
4.375000e+00 4.100759e-03
4.531250e+00 3.382115e-03
4.687500e+00 2.834092e-03
4.843750e+00 2.287575e-03
5.000000e+00 1.932896e-03
5.156250e+00 1.659524e-03
5.312500e+00 1.440711e-03
5.468750e+00 1.182427e-03
5.625000e+00 1.006063e-03
5.781250e+00 8.585747e-04
5.937500e+00 7.451245e-04
6.093750e+00 6.052898e-04
6.250000e+00 5.238123e-04
6.406250e+00 4.563000e-04
6.562500e+00 4.072791e-04
6.718750e+00 3.607990e-04
6.875000e+00 3.237482e-04
7.031250e+00 2.833070e-04
7.187500e+00 2.401752e-04
7.343750e+00 2.063839e-04
7.500000e+00 1.765834e-04
7.656250e+00 1.584888e-04
7.812500e+00 1.404919e-04
7.968750e+00 1.267651e-04
8.125000e+00 1.104404e-04
8.281250e+00 1.023365e-04
8.437500e+00 9.572611e-05
8.593750e+00 8.581665e-05
8.750000e+00 7.335177e-05
8.906250e+00 6.922948e-05
9.062500e+00 6.347597e-05
9.218750e+00 5.287145e-05
9.375000e+00 4.401639e-05
9.531250e+00 3.972273e-05
9.687500e+00 3.423896e-05
9.843750e+00 3.069158e-05
1.000000e+01 2.810966e-05
1.015625e+01 2.675301e-05
1.031250e+01 2.555152e-05
1.046875e+01 2.428734e-05
1.062500e+01 2.254330e-05
1.078125e+01 2.112498e-05
1.093750e+01 1.988650e-05
1.109375e+01 1.807341e-05
1.125000e+01 1.348945e-05
1.140625e+01 1.259501e-05
1.156250e+01 1.125971e-05
1.171875e+01 7.027284e-06
1.187500e+01 5.935549e-06
1.203125e+01 3.394569e-06
1.218750e+01 2.959879e-06
1.234375e+01 2.559912e-06
1.250000e+01 2.287200e-06
1.265625e+01 1.917100e-06
1.281250e+01 2.130146e-07
1.296875e+01 1.614831e-07
1.312500e+01 1.441997e-07
1.328125e+01 1.294744e-07
1.343750e+01 1.173892e-07
1.359375e+01 1.022482e-07
1.375000e+01 9.283244e-08
1.390625e+01 8.719886e-08
1.406250e+01 8.051118e-08
1.421875e+01 7.322599e-08
1.437500e+01 6.581553e-08
1.453125e+01 5.992189e-08
1.468750e+01 5.652539e-08
1.484375e+01 5.452683e-08
1.500000e+01 5.079911e-08
1.515625e+01 4.675562e-08
1.531250e+01 1.952139e-08
1.546875e+01 1.543623e-08
1.562500e+01 1.196451e-08
1.578125e+01 8.367942e-09
1.593750e+01 7.036447e-09
1.609375e+01 5.536485e-09
1.625000e+01 3.549801e-09
1.640625e+01 2.133056e-09
1.656250e+01 1.705230e-09
1.671875e+01 1.178220e-09
1.687500e+01 8.375530e-10
1.703125e+01 4.615614e-10
1.718750e+01 3.592861e-10
1.734375e+01 3.055752e-10
1.750000e+01 2.649193e-10
1.765625e+01 2.425946e-10
1.781250e+01 2.158482e-10
1.796875e+01 1.963273e-10
1.812500e+01 1.685107e-10
1.828125e+01 1.320149e-10
1.843750e+01 1.235292e-10
1.859375e+01 1.147671e-10
1.875000e+01 1.011637e-10
1.890625e+01 9.121000e-11
1.906250e+01 8.615095e-11
1.921875e+01 8.096387e-11
1.937500e+01 7.280394e-11
1.953125e+01 6.095521e-11
1.968750e+01 4.576345e-11
1.984375e+01 1.666582e-11
2.000000e+01 8.620092e-12
2.015625e+01 6.161696e-12
2.031250e+01 5.350630e-12
2.046875e+01 4.803980e-12
2.062500e+01 4.480153e-12
2.078125e+01 4.033324e-12
2.093750e+01 3.160302e-12
2.109375e+01 2.833113e-12
2.125000e+01 2.166018e-12
2.140625e+01 1.443789e-12
2.156250e+01 1.239124e-12
2.171875e+01 1.027358e-12
2.187500e+01 7.618048e-13
2.203125e+01 6.093389e-13
2.218750e+01 5.375419e-13
2.234375e+01 4.737642e-13
2.250000e+01 3.929178e-13
2.265625e+01 3.387749e-13
2.281250e+01 3.156177e-13
2.296875e+01 2.896353e-13
2.312500e+01 1.962488e-13
2.328125e+01 1.497718e-13
2.343750e+01 6.069001e-14
2.359375e+01 4.878190e-14
2.375000e+01 4.477308e-14
2.390625e+01 3.581950e-14
2.406250e+01 3.113058e-14
2.421875e+01 2.808255e-14
2.437500e+01 2.649305e-14
2.453125e+01 2.509647e-14
2.468750e+01 2.048003e-14
2.484375e+01 1.796573e-14
2.500000e+01 1.582201e-14
2.515625e+01 1.386511e-14
2.531250e+01 1.215939e-14
2.546875e+01 1.030730e-14
2.562500e+01 9.308747e-15
2.578125e+01 8.442863e-15
2.593750e+01 6.356802e-15
2.609375e+01 3.731209e-15
2.625000e+01 2.563952e-15
2.640625e+01 2.190922e-15
2.656250e+01 1.810126e-15
2.671875e+01 1.440429e-15
2.687500e+01 6.860611e-16
2.703125e+01 6.060187e-16
2.718750e+01 5.693638e-16
2.734375e+01 5.465695e-16
2.750000e+01 5.156594e-16
2.765625e+01 4.167760e-16
2.781250e+01 8.133973e-17
2.796875e+01 1.751190e-17
2.812500e+01 1.395054e-17
2.828125e+01 1.162637e-17
2.843750e+01 1.095083e-17
2.859375e+01 1.029873e-17
2.875000e+01 9.338330e-18
2.890625e+01 6.978039e-18
2.906250e+01 5.252229e-18
