# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 nan
1.123324e-15 nan
1.261857e-15 nan
1.417474e-15 nan
1.592283e-15 nan
1.788650e-15 nan
2.009233e-15 nan
2.257020e-15 nan
2.535364e-15 nan
2.848036e-15 nan
3.199267e-15 7.766760e-01
3.593814e-15 2.401006e-01
4.037017e-15 2.170889e-01
4.534879e-15 1.427324e-01
5.094138e-15 2.124008e-01
5.722368e-15 1.908879e-01
6.428073e-15 2.115911e-01
7.220809e-15 2.277629e-01
8.111308e-15 2.385576e-01
9.111628e-15 2.403329e-01
1.023531e-14 2.576716e-01
1.149757e-14 3.025547e-01
1.291550e-14 2.481721e-01
1.450829e-14 2.439728e-01
1.629751e-14 2.993305e-01
1.830738e-14 3.276881e-01
2.056512e-14 4.025738e-01
2.310130e-14 3.095785e-01
2.595024e-14 3.338746e-01
2.915053e-14 4.080977e-01
3.274549e-14 4.538045e-01
3.678380e-14 4.306916e-01
4.132012e-14 4.567757e-01
4.641589e-14 4.638917e-01
5.214008e-14 5.009126e-01
5.857021e-14 5.806130e-01
6.579332e-14 6.199093e-01
7.390722e-14 6.339266e-01
8.302176e-14 6.584568e-01
9.326033e-14 6.497060e-01
1.047616e-13 7.388284e-01
1.176812e-13 8.191854e-01
1.321941e-13 8.033578e-01
1.484968e-13 8.252593e-01
1.668101e-13 9.799628e-01
1.873817e-13 1.063836e+00
2.104904e-13 1.099565e+00
2.364489e-13 1.264536e+00
2.656088e-13 1.347472e+00
2.983647e-13 1.406312e+00
3.351603e-13 1.490182e+00
3.764936e-13 1.601730e+00
4.229243e-13 1.759088e+00
4.750810e-13 1.853184e+00
5.336699e-13 1.940552e+00
5.994843e-13 2.227569e+00
6.734151e-13 2.180458e+00
7.564633e-13 2.410626e+00
8.497534e-13 2.646254e+00
9.545485e-13 2.618647e+00
1.072267e-12 2.858776e+00
1.204504e-12 3.333416e+00
1.353048e-12 3.425367e+00
1.519911e-12 3.490729e+00
1.707353e-12 3.899246e+00
1.917910e-12 4.001605e+00
2.154435e-12 4.231865e+00
2.420128e-12 4.650316e+00
2.718588e-12 4.646004e+00
3.053856e-12 5.129296e+00
3.430469e-12 5.026413e+00
3.853529e-12 5.159571e+00
4.328761e-12 5.475647e+00
4.862602e-12 5.919154e+00
5.462277e-12 5.829690e+00
6.135907e-12 6.316031e+00
6.892612e-12 6.496729e+00
7.742637e-12 6.887752e+00
8.697490e-12 6.566456e+00
9.770100e-12 7.319590e+00
1.097499e-11 7.377349e+00
1.232847e-11 7.394417e+00
1.384886e-11 8.014772e+00
1.555676e-11 8.239942e+00
1.747528e-11 8.441107e+00
1.963041e-11 8.375119e+00
2.205131e-11 8.854306e+00
2.477076e-11 8.649140e+00
2.782559e-11 9.081861e+00
3.125716e-11 9.368415e+00
3.511192e-11 9.726493e+00
3.944206e-11 9.865641e+00
4.430621e-11 1.013081e+01
4.977024e-11 1.029956e+01
5.590810e-11 1.055532e+01
6.280291e-11 1.063180e+01
7.054802e-11 1.060555e+01
7.924829e-11 1.131750e+01
8.902151e-11 1.182320e+01
1.000000e-10 1.194518e+01
