# x[h^-1_cMpc]  F_mean
0.000000e+00 8.637290e-01
1.562500e-01 7.753981e-01
3.125000e-01 7.020336e-01
4.687500e-01 6.332921e-01
6.250000e-01 5.725145e-01
7.812500e-01 5.205519e-01
9.375000e-01 4.757627e-01
1.093750e+00 4.312770e-01
1.250000e+00 3.917527e-01
1.406250e+00 3.560315e-01
1.562500e+00 3.233607e-01
1.718750e+00 2.945094e-01
1.875000e+00 2.705821e-01
2.031250e+00 2.468081e-01
2.187500e+00 2.260726e-01
2.343750e+00 2.075320e-01
2.500000e+00 1.897173e-01
2.656250e+00 1.737259e-01
2.812500e+00 1.598461e-01
2.968750e+00 1.464993e-01
3.125000e+00 1.338729e-01
3.281250e+00 1.240253e-01
3.437500e+00 1.150346e-01
3.593750e+00 1.064513e-01
3.750000e+00 9.852808e-02
3.906250e+00 9.094732e-02
4.062500e+00 8.362257e-02
4.218750e+00 7.775832e-02
4.375000e+00 7.262804e-02
4.531250e+00 6.708053e-02
4.687500e+00 6.160200e-02
4.843750e+00 5.668215e-02
5.000000e+00 5.218472e-02
5.156250e+00 4.826738e-02
5.312500e+00 4.483349e-02
5.468750e+00 4.169227e-02
5.625000e+00 3.843478e-02
5.781250e+00 3.541715e-02
5.937500e+00 3.263376e-02
6.093750e+00 3.047455e-02
6.250000e+00 2.836632e-02
6.406250e+00 2.623836e-02
6.562500e+00 2.438520e-02
6.718750e+00 2.271727e-02
6.875000e+00 2.098756e-02
7.031250e+00 1.937048e-02
7.187500e+00 1.803220e-02
7.343750e+00 1.665169e-02
7.500000e+00 1.534354e-02
7.656250e+00 1.432687e-02
7.812500e+00 1.333296e-02
7.968750e+00 1.250766e-02
8.125000e+00 1.158654e-02
8.281250e+00 1.074415e-02
8.437500e+00 9.912201e-03
8.593750e+00 9.201403e-03
8.750000e+00 8.529244e-03
8.906250e+00 7.898099e-03
9.062500e+00 7.352499e-03
9.218750e+00 6.686860e-03
9.375000e+00 6.238834e-03
9.531250e+00 5.779168e-03
9.687500e+00 5.372446e-03
9.843750e+00 4.895478e-03
1.000000e+01 4.541197e-03
1.015625e+01 4.161077e-03
1.031250e+01 3.922143e-03
1.046875e+01 3.703614e-03
1.062500e+01 3.429162e-03
1.078125e+01 3.122257e-03
1.093750e+01 2.898561e-03
1.109375e+01 2.665822e-03
1.125000e+01 2.436115e-03
1.140625e+01 2.277636e-03
1.156250e+01 2.137498e-03
1.171875e+01 1.979844e-03
1.187500e+01 1.851280e-03
1.203125e+01 1.705370e-03
1.218750e+01 1.466450e-03
1.234375e+01 1.264419e-03
1.250000e+01 1.149300e-03
1.265625e+01 1.052605e-03
1.281250e+01 9.663486e-04
1.296875e+01 8.997279e-04
1.312500e+01 8.099773e-04
1.328125e+01 7.341935e-04
1.343750e+01 6.841945e-04
1.359375e+01 6.291248e-04
1.375000e+01 5.723310e-04
1.390625e+01 5.365699e-04
1.406250e+01 4.935175e-04
1.421875e+01 4.631937e-04
1.437500e+01 4.174360e-04
1.453125e+01 3.891604e-04
1.468750e+01 3.561046e-04
1.484375e+01 3.320518e-04
1.500000e+01 3.122308e-04
1.515625e+01 2.930753e-04
1.531250e+01 2.766405e-04
1.546875e+01 2.608942e-04
1.562500e+01 2.435892e-04
1.578125e+01 2.121773e-04
1.593750e+01 1.821571e-04
1.609375e+01 1.655387e-04
1.625000e+01 1.525546e-04
1.640625e+01 1.403211e-04
1.656250e+01 1.298041e-04
1.671875e+01 1.160840e-04
1.687500e+01 1.058346e-04
1.703125e+01 9.560154e-05
1.718750e+01 8.361714e-05
1.734375e+01 7.365336e-05
1.750000e+01 6.905164e-05
1.765625e+01 6.308657e-05
1.781250e+01 5.859014e-05
1.796875e+01 5.543880e-05
1.812500e+01 5.272106e-05
1.828125e+01 4.862509e-05
1.843750e+01 4.632259e-05
1.859375e+01 4.403618e-05
1.875000e+01 3.895526e-05
1.890625e+01 3.580459e-05
1.906250e+01 3.217154e-05
1.921875e+01 3.087462e-05
1.937500e+01 2.949851e-05
1.953125e+01 2.835525e-05
1.968750e+01 2.724716e-05
1.984375e+01 2.584559e-05
2.000000e+01 2.439817e-05
2.015625e+01 2.307838e-05
2.031250e+01 2.121638e-05
2.046875e+01 2.004258e-05
2.062500e+01 1.815970e-05
2.078125e+01 1.524951e-05
2.093750e+01 1.338707e-05
2.109375e+01 1.220387e-05
2.125000e+01 1.148834e-05
2.140625e+01 1.094155e-05
2.156250e+01 1.013665e-05
2.171875e+01 8.874051e-06
2.187500e+01 7.193011e-06
2.203125e+01 6.803555e-06
2.218750e+01 6.411095e-06
2.234375e+01 5.730239e-06
2.250000e+01 5.303552e-06
2.265625e+01 4.903077e-06
2.281250e+01 4.526851e-06
2.296875e+01 4.191216e-06
2.312500e+01 3.584339e-06
2.328125e+01 3.258196e-06
2.343750e+01 3.033745e-06
2.359375e+01 2.860169e-06
2.375000e+01 2.697005e-06
2.390625e+01 2.399465e-06
2.406250e+01 2.164112e-06
2.421875e+01 2.018686e-06
2.437500e+01 1.788152e-06
2.453125e+01 1.612336e-06
2.468750e+01 1.519536e-06
2.484375e+01 1.427340e-06
2.500000e+01 1.229834e-06
2.515625e+01 1.108593e-06
2.531250e+01 1.035452e-06
2.546875e+01 9.236693e-07
2.562500e+01 8.654957e-07
2.578125e+01 7.847892e-07
2.593750e+01 7.559609e-07
2.609375e+01 6.846185e-07
2.625000e+01 6.202248e-07
2.640625e+01 5.904998e-07
2.656250e+01 5.493529e-07
2.671875e+01 5.138698e-07
2.687500e+01 4.819781e-07
2.703125e+01 4.218910e-07
2.718750e+01 3.571866e-07
2.734375e+01 3.264408e-07
2.750000e+01 3.107513e-07
2.765625e+01 2.959384e-07
2.781250e+01 2.726158e-07
2.796875e+01 2.494810e-07
2.812500e+01 2.117025e-07
2.828125e+01 1.900969e-07
2.843750e+01 1.691897e-07
2.859375e+01 1.302164e-07
2.875000e+01 1.215957e-07
2.890625e+01 1.156265e-07
2.906250e+01 1.111094e-07
2.921875e+01 1.045085e-07
2.937500e+01 9.724832e-08
2.953125e+01 9.254990e-08
2.968750e+01 8.353030e-08
2.984375e+01 7.896541e-08
3.000000e+01 7.425211e-08
3.015625e+01 6.953327e-08
3.031250e+01 6.704956e-08
3.046875e+01 6.409528e-08
